Col0,Col1,Col2,Col3,Col4,Col5,Col6
10.089,-9.4142,-2.2362e-12,420.51,327.9,2.2606e-13,82.698,-83.297
7.7478+3.4694i,-5.5402-5.7829i,-1.8106+2.7278i,-278.97+289.57i,102.11-423.39i,-13.226+19.927i,62.427+26.979i,-49.653-47.101i
3.6548+2.5945i,1.3566-4.4299i,-5.1086+2.1528i,25.282-397.16i,-292.36-295.3i,-41.652+17.553i,30.86+14.613i,10.568-32.271i
2.9383-1.5361i,2.8595+2.494i,-6.0027-1.1367i,255.02+347.66i,-338.43+265.15i,-56.374-10.675i,33.004-18.984i,23.131+29.797i
6.5121-3.7535i,-2.8775+6.6241i,-3.4284-3.3453i,-509.27-116.49i,106.08+568.85i,-32.261-31.479i,55.364-24.234i,-23.503+55.889i
9.9191-1.2691i,-8.8675+2.9912i,-0.41616-1.9364i,550.56-414.55i,638.64+140.14i,5.9065+27.484i,20.219-18.826i,-26.272-8.5213i
8.8939+2.8236i,-7.7995-3.9069i,-0.53548+1.3632i,69.569+843.86i,832.7-647.11i,-102.56+261.09i,-118.03-198.14i,221.45-61.509i
4.709+3.3963i,-0.96222-5.5705i,-3.6778+2.5734i,-873.77-400.6i,-3767.9-2690.7i,3291.9-2303.3i,361.73+4046.4i,-3656.3-1772.4i
2.6133-0.29639i,3.3013+0.13567i,-6.1512+0.151i,791.85-637.19i,3809+6909.7i,-8837.8+216.96i,4264.2-7716.2i,4542.7+7555.2i
5.2764-3.6502i,-0.24298+6.3501i,-5.016-3.1548i,229.78+936.73i,-731.78-6098.9i,5351.2+3365.7i,-5601.8+2926.6i,291.17-6313.5i
9.4164-2.4452i,-7.3107+5.5573i,-1.5819-3.5103i,-800.94-183.95i,-1065.3+1654i,-458.7-1017.9i,1135.9+104.88i,-685.41+912.27i
9.865+1.8521i,-9.2873-1.2294i,0.087709-0.53465i,430.91-474.45i,186.9+585.73i,4.4596-27.184i,63.452+24.468i,-68.372+2.5384i
6.0394+3.8709i,-3.7347-5.6583i,-2.037+2.1928i,101.05+428.01i,437.05+36.89i,-26.383+28.401i,19.995-8.0719i,6.243-20.27i
2.7282+1.0399i,2.5872-2.2061i,-5.5008+1.3242i,-233.12-176.39i,117.7-295.87i,0.68777-0.16557i,6.5764+28.841i,-7.3118-28.885i
4.1402-3.1442i,1.9266+5.0458i,-6.2048-2.2632i,262.76+14.018i,-216.89-201.88i,42.702+15.575i,-37.446+35.859i,-4.9845-51.695i
8.6024-3.4304i,-4.9828+7.3324i,-3.2626-4.4274i,-189.89+165.75i,-202.76+87.326i,41.486+56.297i,-57.477-1.3937i,16.408-54.894i
10.577+0.60615i,-9.7492+1.8957i,-0.12958-2.6377i,3.0607-231.2i,45.209+195.24i,3.3785+68.771i,-30.52-33.219i,27.362-35.311i
7.5707+3.9516i,-6.5303-4.5848i,-0.57244+0.96174i,138.58+116.25i,177.86+42.068i,-23.919+40.186i,7.6458-22.858i,16.218-17.162i
3.3244+2.3732i,0.78665-4.0831i,-4.1674+2.0024i,-120.83-18.801i,58.253-128.68i,-12.184+5.8542i,13.325+12.014i,-1.238-17.955i
3.2176-2.2349i,3.248+2.9539i,-6.6983-0.93068i,131.93-41.565i,-119.54-102.25i,19.263+2.6765i,-13.762+27.875i,-5.4019-30.753i
7.5205-4.1195i,-2.2481+8.0615i,-5.1113-4.5196i,-64.815+133.67i,-122.44+52.679i,31.763+28.086i,-36.369+8.894i,4.8689-37.045i
10.949-0.84086i,-9.081+5.0421i,-1.2175-4.5625i,-51.258-134.16i,28.139+116.8i,12.824+48.056i,-27.378-18.62i,14.752-29.302i
9.208+3.5795i,-8.9073-2.4059i,0.33758-1.0012i,116.19+37.55i,118.42+19.804i,-13.118+38.907i,0.37265-21.696i,12.743-17.053i
