Col0,Col1,Col2,Col3,Col4,Col5,Col6,Col7,Col8
9.7214e-08,1.8557e-07,7.3428e-07,1.817e-06,1.5721e-06,2.9306e-06,1.1505e-06,2.5327e-06,4.139e-07
4.9471e-09,1.1855e-08,1.969e-08,3.3358e-07,6.2809e-08,1.7921e-07,4.4435e-07,1.3527e-09,1.2605e-06
2.1078e-09,5.389e-08,4.2827e-07,5.8826e-07,2.7662e-06,1.7255e-06,5.1634e-06,3.0624e-06,7.0293e-06
1.4329e-11,1.2611e-08,2.4738e-07,1.7873e-06,4.1142e-06,6.1026e-06,8.9912e-06,9.0057e-06,1.1554e-05
1.3149e-09,2.9317e-09,6.1274e-08,1.0438e-06,1.8268e-06,5.842e-06,6.2827e-06,1.0521e-05,9.9374e-06
1.9322e-09,5.3952e-10,1.2713e-11,1.5862e-07,7.5344e-08,1.7869e-06,1.295e-06,5.6373e-06,3.9943e-06
8.5366e-10,2.6951e-10,2.7529e-08,4.6492e-08,4.197e-07,1.5575e-09,1.1695e-07,7.1139e-07,1.8805e-07
4.3689e-12,2.1115e-09,7.0286e-08,3.8185e-07,1.3204e-06,1.1731e-06,1.7968e-06,3.8142e-07,7.993e-07
5.7232e-10,3.1308e-09,6.3406e-08,4.8108e-07,1.1789e-06,2.1117e-06,2.3788e-06,2.225e-06,2.4977e-06
1.3859e-09,1.9112e-09,1.9383e-08,2.3817e-07,3.1021e-07,1.3491e-06,1.164e-06,2.4988e-06,2.4741e-06
1.0588e-09,2.2821e-10,4.5924e-10,1.2895e-08,2.1847e-08,1.7179e-07,9.5761e-08,1.1342e-06,1.1649e-06
1.6048e-10,3.1792e-10,2.6443e-08,7.6279e-08,4.7694e-07,1.567e-07,1.293e-07,1.4315e-07,2.6899e-07
1.6872e-10,1.7322e-09,5.1129e-08,2.6627e-07,7.2053e-07,7.5983e-07,3.4566e-07,5.8944e-09,6.1666e-08
1.0609e-09,2.1751e-09,3.4539e-08,2.548e-07,3.1249e-07,6.042e-07,6.7096e-08,6.2976e-09,1.4016e-07
1.3592e-09,9.5227e-10,3.3721e-09,6.1106e-08,3.1421e-09,2.4366e-08,2.2145e-07,1.2257e-07,5.6085e-07
5.457e-10,4.1965e-13,1.1006e-08,2.2493e-08,5.3714e-07,4.895e-07,1.5196e-06,9.0098e-07,1.103e-06
5.7799e-12,1.0062e-09,5.5325e-08,2.701e-07,1.3661e-06,1.9247e-06,2.5262e-06,1.7632e-06,8.5959e-07
8.2514e-10,2.7934e-09,7.6224e-08,4.9099e-07,1.3146e-06,2.4109e-06,1.5495e-06,1.3099e-06,2.7362e-08
1.783e-09,2.8623e-09,4.185e-08,3.6221e-07,3.8945e-07,1.0774e-06,3.3178e-08,6.4691e-08,1.4068e-06
1.1018e-09,1.0406e-09,1.7064e-09,5.7655e-08,5.8725e-08,2.3102e-09,1.7206e-06,1.4327e-06,7.8461e-06
7.5382e-14,1.3966e-11,2.4466e-08,6.911e-08,1.3255e-06,1.8392e-06,7.4978e-06,7.7732e-06,1.7459e-05
2.5986e-09,1.7129e-09,9.9731e-08,5.2572e-07,3.1237e-06,5.8604e-06,1.2743e-05,1.5736e-05,2.305e-05
1.0968e-08,4.4287e-09,1.4135e-07,9.4457e-07,3.4128e-06,8.0255e-06,1.1877e-05,1.809e-05,1.8723e-05
2.1073e-08,4.8153e-09,9.6812e-08,8.149e-07,1.7797e-06,5.7409e-06,5.3701e-06,1.1726e-05,7.4944e-06
2.5442e-08,2.3224e-09,1.9866e-08,2.8097e-07,1.4572e-07,1.4553e-06,2.2546e-07,2.6166e-06,1.3548e-07
2.0477e-08,1.0127e-10,5.8511e-09,5.4254e-10,4.8595e-07,1.4008e-07,2.3717e-06,4.9002e-07,4.7694e-06
1.0223e-08,9.9929e-10,7.0625e-08,3.2323e-07,2.3841e-06,3.4016e-06,9.7434e-06,8.2991e-06,1.8017e-05
2.1777e-09,3.8614e-09,1.3098e-07,8.461e-07,3.5513e-06,7.5077e-06,1.4502e-05,1.8593e-05,2.79e-05
1.4329e-11,5.035e-09,1.1178e-07,9.2596e-07,2.6425e-06,7.8358e-06,1.1839e-05,2.1344e-05,2.5771e-05
1.3149e-09,3.0819e-09,3.9033e-08,4.8033e-07,7.8665e-07,4.2061e-06,4.8779e-06,1.4369e-05,1.4307e-05
1.9322e-09,4.9012e-10,2.7652e-11,4.8765e-08,2.2979e-09,6.3518e-07,3.2663e-07,4.6715e-06,3.4623e-06
8.5366e-10,2.7034e-10,2.9072e-08,7.6519e-08,7.0542e-07,2.5458e-07,8.3447e-07,8.4504e-08,8.2261e-09
4.3689e-12,2.1115e-09,7.1016e-08,3.8418e-07,1.4909e-06,1.9924e-06,3.2215e-06,1.5496e-06,2.384e-06
