Col0,Col1,Col2,Col3,Col4,Col5,Col6,Col7,Col8
8.198e-08,1.2592e-07,5.5202e-07,1.3352e-06,2.4681e-06,4.8939e-06,7.2348e-06,1.2578e-05,1.642e-05
1.0036e-08,8.9909e-09,1.9398e-10,6.0835e-07,5.4874e-07,2.9886e-06,3.1203e-06,8.6162e-06,9.0136e-06
1.5164e-08,2.7708e-08,9.7643e-08,1.0644e-08,4.9239e-08,4.2087e-07,2.6583e-07,2.9252e-06,2.3617e-06
1.3577e-08,1.5604e-09,2.6262e-08,2.3916e-07,4.4875e-07,1.4333e-07,3.3623e-07,1.0588e-07,7.3495e-10
1.1524e-08,1.7037e-13,2.524e-09,1.3903e-07,3.7253e-07,7.9769e-07,1.3684e-06,7.1851e-07,1.5195e-06
9.3102e-09,3.6031e-12,1.1991e-11,3.992e-08,1.6656e-07,8.221e-07,1.6053e-06,2.3207e-06,4.0223e-06
7.0738e-09,1.0978e-12,1.1387e-10,7.0457e-09,6.5853e-08,5.2634e-07,1.2795e-06,2.9464e-06,5.2969e-06
4.9556e-09,1.3484e-12,9.0474e-11,9.2296e-10,1.9719e-08,2.8336e-07,8.4541e-07,2.6964e-06,5.2975e-06
3.0887e-09,1.6388e-12,1.0474e-10,9.6994e-10,7.1288e-09,1.517e-07,5.6272e-07,2.103e-06,4.6352e-06
1.5903e-09,1.9013e-12,1.4284e-10,1.3192e-09,6.4072e-09,7.5182e-08,3.7234e-07,1.5746e-06,3.7863e-06
5.5477e-10,2.1196e-12,1.8367e-10,1.1536e-09,8.6444e-09,4.5795e-08,2.4427e-07,1.1989e-06,3.1033e-06
4.7013e-11,2.2798e-12,2.2324e-10,1.1293e-09,8.7923e-09,4.0438e-08,1.8212e-07,8.9847e-07,2.5338e-06
9.8973e-11,2.372e-12,2.5902e-10,1.1701e-09,8.4049e-09,4.4425e-08,1.6092e-07,6.7681e-07,2.0198e-06
7.0739e-10,2.3903e-12,2.8878e-10,1.1672e-09,8.1911e-09,4.5723e-08,1.5881e-07,5.442e-07,1.6076e-06
1.834e-09,2.3336e-12,3.1064e-10,1.1301e-09,8.0409e-09,4.2114e-08,1.5652e-07,4.7276e-07,1.3102e-06
3.4081e-09,2.2054e-12,3.2322e-10,1.0588e-09,7.5957e-09,3.7613e-08,1.4139e-07,4.3245e-07,1.0985e-06
5.3307e-09,2.0139e-12,3.2573e-10,9.5776e-10,6.9482e-09,3.309e-08,1.2011e-07,3.9695e-07,9.3441e-07
7.481e-09,1.7709e-12,3.1802e-10,8.334e-10,6.1214e-09,2.8524e-08,9.7938e-08,3.4422e-07,7.87e-07
9.724e-09,1.4919e-12,3.0058e-10,6.935e-10,5.1681e-09,2.3397e-08,7.6551e-08,2.7631e-07,6.3098e-07
1.1919e-08,1.1943e-12,2.7449e-10,5.4686e-10,4.1481e-09,1.8139e-08,5.6634e-08,2.0696e-07,4.6126e-07
1.3927e-08,8.9683e-13,2.414e-10,4.0267e-10,3.1255e-09,1.3068e-08,3.8196e-08,1.4314e-07,3.0054e-07
1.5623e-08,6.1819e-13,2.0338e-10,2.7001e-10,2.1646e-09,8.4916e-09,2.2425e-08,8.8835e-08,1.6704e-07
1.69e-08,3.7587e-13,1.6283e-10,1.572e-10,1.3257e-09,4.6965e-09,1.0362e-08,4.623e-08,6.9657e-08
1.7678e-08,1.8512e-13,1.2229e-10,7.1339e-11,6.6157e-10,1.9212e-09,2.7284e-09,1.6576e-08,1.3746e-08
1.7908e-08,5.7907e-14,8.4314e-11,1.782e-11,2.1392e-10,3.4006e-10,3.4231e-12,1.6182e-09,8.619e-10
1.7575e-08,2.2305e-15,5.1282e-11,4.9033e-15,1.0895e-11,5.243e-11,2.3583e-09,2.3863e-09,3.0656e-08
1.67e-08,2.1588e-14,2.5272e-11,1.9013e-11,6.5234e-11,1.0764e-09,9.6451e-09,1.8798e-08,1.0137e-07
1.5339e-08,1.1476e-13,7.9171e-12,7.3649e-11,3.7353e-10,3.3476e-09,2.1406e-08,4.982e-08,2.0853e-07
1.3577e-08,2.759e-13,3.0916e-13,1.6048e-10,9.164e-10,6.7233e-09,3.6902e-08,9.3501e-08,3.4529e-07
1.1524e-08,4.9488e-13,2.9257e-12,2.7405e-10,1.6598e-09,1.0992e-08,5.5159e-08,1.471e-07,5.0311e-07
9.3102e-09,7.5794e-13,1.5602e-11,4.0723e-10,2.5569e-09,1.5884e-08,7.503e-08,2.0724e-07,6.7207e-07
