Col0,Col1,Col2,Col3,Col4,Col5,Col6,Col7,Col8
5.1391e-09,7.7329e-09,3.3304e-08,7.796e-08,1.3977e-07,2.671e-07,3.8496e-07,6.4698e-07,8.4203e-07
6.6151e-10,5.3316e-10,2.6746e-12,3.5018e-08,2.9592e-08,1.6251e-07,1.6444e-07,4.5065e-07,4.7739e-07
1.0556e-09,1.7462e-09,6.1132e-09,8.9507e-10,3.693e-09,2.104e-08,1.2955e-08,1.5466e-07,1.3627e-07
1.0368e-09,9.5782e-11,1.5481e-09,1.5015e-08,2.7264e-08,9.5671e-09,1.8853e-08,6.4554e-09,1.6729e-09
9.9881e-10,7.0428e-14,1.1392e-10,8.2247e-09,2.0786e-08,4.5445e-08,6.938e-08,3.1851e-08,5.0501e-08
9.5381e-10,7.4058e-14,2.3423e-12,2.0879e-09,7.9718e-09,4.2266e-08,7.2634e-08,9.9356e-08,1.3855e-07
9.0251e-10,5.3807e-16,3.0603e-14,2.4505e-10,2.3409e-09,2.308e-08,4.8889e-08,1.1268e-07,1.653e-07
8.4571e-10,4.0225e-16,7.6566e-13,2.2801e-12,2.9443e-10,9.5106e-09,2.4738e-08,8.6742e-08,1.4004e-07
7.8432e-10,5.1996e-16,1.1281e-12,1.22e-12,2.318e-12,3.303e-09,1.1472e-08,5.2544e-08,9.7453e-08
7.1931e-10,6.4816e-16,9.1216e-13,3.7053e-12,7.1142e-13,6.5752e-10,4.4676e-09,2.8191e-08,5.8932e-08
6.5169e-10,7.8484e-16,6.8254e-13,9.8344e-13,2.1133e-12,7.4194e-11,1.2069e-09,1.4344e-08,3.4528e-08
5.8253e-10,9.2783e-16,4.8106e-13,4.759e-13,1.142e-12,1.8138e-11,2.7605e-10,6.1957e-09,1.9246e-08
5.1293e-10,1.0749e-15,3.1166e-13,5.7669e-13,1.0735e-13,4.0282e-11,1.1269e-10,2.1697e-09,9.446e-09
4.4398e-10,1.2237e-15,1.7703e-13,6.3936e-13,3.1533e-14,5.7496e-11,1.421e-10,7.6181e-10,4.2556e-09
3.7676e-10,1.3719e-15,7.9283e-14,7.138e-13,2.2084e-13,4.4991e-11,2.1598e-10,4.0703e-10,2.0755e-09
3.1235e-10,1.5171e-15,1.9961e-14,7.8678e-13,4.7997e-13,3.5393e-11,2.1848e-10,4.18e-10,1.3648e-09
2.5176e-10,1.6572e-15,1.8885e-19,8.5682e-13,8.7739e-13,3.3003e-11,1.912e-10,5.6807e-10,1.3036e-09
1.9593e-10,1.7898e-15,1.9716e-14,9.2282e-13,1.3827e-12,3.5889e-11,1.7279e-10,6.5891e-10,1.5552e-09
1.4576e-10,1.9128e-15,7.8798e-14,9.8373e-13,1.9893e-12,3.7824e-11,1.6854e-10,6.3908e-10,1.8311e-09
1.0203e-10,2.0244e-15,1.7631e-13,1.0386e-12,2.6876e-12,3.9703e-11,1.7567e-10,5.9754e-10,1.8925e-09
6.5431e-11,2.1228e-15,3.1073e-13,1.0865e-12,3.4666e-12,4.1432e-11,1.8094e-10,5.6832e-10,1.8296e-09
3.6542e-11,2.2063e-15,4.7991e-13,1.1268e-12,4.314e-12,4.2873e-11,1.844e-10,5.6226e-10,1.7556e-09
1.5818e-11,2.2738e-15,6.8121e-13,1.1588e-12,5.2165e-12,4.3995e-11,1.8708e-10,5.7493e-10,1.6936e-09
3.5861e-12,2.3241e-15,9.1144e-13,1.182e-12,6.1599e-12,4.478e-11,1.8828e-10,5.8521e-10,1.6656e-09
3.8919e-14,2.3565e-15,1.167e-12,1.196e-12,7.1292e-12,4.5217e-11,1.8802e-10,5.8814e-10,1.664e-09
5.2325e-12,2.3704e-15,1.4438e-12,1.2006e-12,8.1091e-12,4.5297e-11,1.8627e-10,5.8741e-10,1.6577e-09
1.9085e-11,2.3656e-15,1.7375e-12,1.1957e-12,9.0843e-12,4.5021e-11,1.8307e-10,5.8266e-10,1.6315e-09
4.1378e-11,2.3421e-15,2.0435e-12,1.1814e-12,1.0039e-11,4.4392e-11,1.7846e-10,5.7332e-10,1.5934e-09
7.1759e-11,2.3005e-15,2.3569e-12,1.158e-12,1.0959e-11,4.342e-11,1.7253e-10,5.5958e-10,1.5451e-09
1.0975e-10,2.2412e-15,2.6729e-12,1.1258e-12,1.1829e-11,4.212e-11,1.6536e-10,5.4166e-10,1.4857e-09
