Col0,Col1,Col2,Col3,Col4,Col5,Col6,Col7,Col8
1.1624e-09,1.7426e-09,7.4788e-09,1.7395e-08,3.0951e-08,5.8641e-08,8.3636e-08,1.3913e-07,1.7886e-07
1.5094e-10,1.1933e-10,3.5398e-13,7.7828e-09,6.4534e-09,3.5525e-08,3.5299e-08,9.6499e-08,1.0041e-07
2.4312e-10,3.9553e-10,1.3855e-09,2.1643e-10,8.8915e-10,4.4246e-09,2.545e-09,3.2397e-08,2.765e-08
2.425e-10,2.1657e-11,3.4842e-10,3.4196e-09,6.2291e-09,2.3099e-09,4.5652e-09,1.0978e-09,1.6883e-10
2.3838e-10,1.6723e-14,2.486e-11,1.8623e-09,4.7045e-09,1.0421e-08,1.5935e-08,7.7259e-09,1.2201e-08
2.3343e-10,1.5693e-14,7.1983e-13,4.6937e-10,1.785e-09,9.5692e-09,1.6405e-08,2.2809e-08,3.1663e-08
2.277e-10,3.5906e-17,5.4615e-14,5.3823e-11,5.1314e-10,5.1619e-09,1.0872e-08,2.5333e-08,3.6848e-08
2.2124e-10,1.3494e-17,3.5637e-13,3.4332e-13,5.9424e-11,2.0862e-09,5.3787e-09,1.9129e-08,3.0505e-08
2.141e-10,1.7466e-17,5.1403e-13,1.3908e-13,3.904e-14,6.9835e-10,2.4069e-09,1.1293e-08,2.0622e-08
2.0635e-10,2.1807e-17,4.871e-13,5.54e-13,9.9682e-13,1.2425e-10,8.7634e-10,5.8295e-09,1.1959e-08
1.9804e-10,2.6452e-17,4.4795e-13,8.0362e-14,5.5587e-16,8.6141e-12,1.988e-10,2.7958e-09,6.6084e-09
1.8926e-10,3.1334e-17,4.0904e-13,1.5414e-14,5.2239e-14,5.8051e-13,2.7884e-11,1.0819e-09,3.3763e-09
1.8007e-10,3.6382e-17,3.7091e-13,2.0258e-14,4.205e-13,2.7523e-12,5.0581e-12,2.9702e-10,1.4215e-09
1.7054e-10,4.152e-17,3.3383e-13,2.1743e-14,6.1833e-13,4.6568e-12,7.3168e-12,6.216e-11,4.8232e-10
1.6075e-10,4.6676e-17,2.9803e-13,2.4323e-14,5.0833e-13,2.76e-12,1.501e-11,1.6495e-11,1.4723e-10
1.5078e-10,5.1772e-17,2.6374e-13,2.6893e-14,4.5099e-13,1.5079e-12,1.4292e-11,1.5396e-11,5.8082e-11
1.407e-10,5.6737e-17,2.3115e-13,2.9386e-14,3.8288e-13,1.1346e-12,1.0303e-11,2.8033e-11,4.6947e-11
1.3059e-10,6.1496e-17,2.0044e-13,3.1766e-14,3.2099e-13,1.2624e-12,7.7511e-12,3.5451e-11,6.5744e-11
1.2052e-10,6.5982e-17,1.7175e-13,3.3998e-14,2.6485e-13,1.3178e-12,6.8712e-12,3.1197e-11,8.8804e-11
1.1056e-10,7.013e-17,1.4521e-13,3.6052e-14,2.1451e-13,1.3822e-12,7.1855e-12,2.5343e-11,9.0852e-11
1.0079e-10,7.3879e-17,1.2089e-13,3.7896e-14,1.6997e-13,1.4491e-12,7.3996e-12,2.1358e-11,8.1108e-11
