Col0,Col1,Col2,Col3,Col4,Col5,Col6,Col7,Col8
8.7498e-08,1.3439e-07,5.8918e-07,1.4251e-06,2.6342e-06,5.2233e-06,7.7219e-06,1.3425e-05,1.7525e-05
1.0712e-08,9.5962e-09,2.0703e-10,6.4931e-07,5.8568e-07,3.1898e-06,3.3304e-06,9.1962e-06,9.6203e-06
1.6185e-08,2.9573e-08,1.0422e-07,1.1361e-08,5.2553e-08,4.492e-07,2.8372e-07,3.1221e-06,2.5207e-06
1.4491e-08,1.6654e-09,2.803e-08,2.5526e-07,4.7896e-07,1.5298e-07,3.5887e-07,1.13e-07,7.8442e-10
1.23e-08,1.8184e-13,2.6939e-09,1.4838e-07,3.9761e-07,8.5139e-07,1.4605e-06,7.6688e-07,1.6218e-06
9.937e-09,3.8457e-12,1.2799e-11,4.2607e-08,1.7777e-07,8.7744e-07,1.7134e-06,2.4769e-06,4.2931e-06
7.55e-09,1.1717e-12,1.2153e-10,7.52e-09,7.0286e-08,5.6177e-07,1.3657e-06,3.1448e-06,5.6534e-06
5.2892e-09,1.4392e-12,9.6565e-11,9.8509e-10,2.1046e-08,3.0243e-07,9.0232e-07,2.8779e-06,5.6541e-06
3.2966e-09,1.7491e-12,1.1179e-10,1.0352e-09,7.6086e-09,1.6191e-07,6.006e-07,2.2446e-06,4.9472e-06
1.6974e-09,2.0293e-12,1.5245e-10,1.408e-09,6.8385e-09,8.0243e-08,3.974e-07,1.6806e-06,4.0412e-06
5.9212e-10,2.2623e-12,1.9603e-10,1.2312e-09,9.2263e-09,4.8877e-08,2.6072e-07,1.2796e-06,3.3122e-06
5.0178e-11,2.4333e-12,2.3826e-10,1.2053e-09,9.3842e-09,4.316e-08,1.9438e-07,9.5895e-07,2.7044e-06
1.0564e-10,2.5317e-12,2.7646e-10,1.2489e-09,8.9707e-09,4.7415e-08,1.7175e-07,7.2237e-07,2.1558e-06
7.55e-10,2.5512e-12,3.0822e-10,1.2458e-09,8.7425e-09,4.8801e-08,1.695e-07,5.8083e-07,1.7158e-06
1.9575e-09,2.4907e-12,3.3155e-10,1.2061e-09,8.5822e-09,4.4949e-08,1.6706e-07,5.0459e-07,1.3984e-06
3.6375e-09,2.3539e-12,3.4497e-10,1.13e-09,8.107e-09,4.0145e-08,1.5091e-07,4.6157e-07,1.1725e-06
5.6895e-09,2.1494e-12,3.4766e-10,1.0222e-09,7.4159e-09,3.5318e-08,1.282e-07,4.2367e-07,9.9731e-07
7.9846e-09,1.8901e-12,3.3943e-10,8.895e-10,6.5335e-09,3.0444e-08,1.0453e-07,3.6739e-07,8.3998e-07
1.0379e-08,1.5923e-12,3.2081e-10,7.4019e-10,5.516e-09,2.4972e-08,8.1704e-08,2.9491e-07,6.7345e-07
1.2721e-08,1.2747e-12,2.9297e-10,5.8367e-10,4.4273e-09,1.936e-08,6.0446e-08,2.2089e-07,4.9231e-07
1.4865e-08,9.572e-13,2.5765e-10,4.2978e-10,3.3359e-09,1.3948e-08,4.0767e-08,1.5277e-07,3.2077e-07
1.6675e-08,6.598e-13,2.1707e-10,2.8818e-10,2.3103e-09,9.0633e-09,2.3934e-08,9.4815e-08,1.7829e-07
