Col0,Col1,Col2,Col3,Col4,Col5,Col6,Col7,Col8
4.7776e-08,7.338e-08,3.217e-07,7.7811e-07,1.4383e-06,2.852e-06,4.2163e-06,7.3301e-06,9.5689e-06
5.8489e-09,5.2397e-09,1.1304e-10,3.5453e-07,3.1979e-07,1.7417e-06,1.8185e-06,5.0213e-06,5.2529e-06
8.8371e-09,1.6148e-08,5.6904e-08,6.2033e-09,2.8695e-08,2.4527e-07,1.5492e-07,1.7047e-06,1.3764e-06
7.9123e-09,9.0934e-10,1.5305e-08,1.3938e-07,2.6152e-07,8.3528e-08,1.9595e-07,6.1703e-08,4.2831e-10
6.7161e-09,9.9288e-14,1.4709e-09,8.102e-08,2.171e-07,4.6487e-07,7.9747e-07,4.1873e-07,8.8551e-07
5.4258e-09,2.0998e-12,6.9882e-12,2.3264e-08,9.7066e-08,4.791e-07,9.3553e-07,1.3525e-06,2.3441e-06
4.1224e-09,6.3978e-13,6.6359e-11,4.106e-09,3.8377e-08,3.0674e-07,7.4568e-07,1.7171e-06,3.0869e-06
2.888e-09,7.8583e-13,5.2726e-11,5.3787e-10,1.1491e-08,1.6513e-07,4.9268e-07,1.5714e-06,3.0873e-06
1.8e-09,9.5504e-13,6.104e-11,5.6525e-10,4.1545e-09,8.8406e-08,3.2794e-07,1.2256e-06,2.7013e-06
9.2681e-10,1.108e-12,8.3243e-11,7.6882e-10,3.734e-09,4.3814e-08,2.1699e-07,9.1764e-07,2.2066e-06
3.2331e-10,1.2352e-12,1.0704e-10,6.7228e-10,5.0377e-09,2.6688e-08,1.4236e-07,6.9866e-07,1.8085e-06
2.7398e-11,1.3286e-12,1.301e-10,6.5812e-10,5.1239e-09,2.3566e-08,1.0613e-07,5.2361e-07,1.4767e-06
5.7679e-11,1.3823e-12,1.5095e-10,6.8192e-10,4.8982e-09,2.589e-08,9.3779e-08,3.9443e-07,1.1771e-06
4.1225e-10,1.393e-12,1.6829e-10,6.8023e-10,4.7736e-09,2.6646e-08,9.2549e-08,3.1715e-07,9.3687e-07
1.0688e-09,1.36e-12,1.8103e-10,6.5856e-10,4.686e-09,2.4543e-08,9.1218e-08,2.7551e-07,7.6353e-07
1.9861e-09,1.2853e-12,1.8836e-10,6.1701e-10,4.4266e-09,2.192e-08,8.2398e-08,2.5202e-07,6.4019e-07
3.1066e-09,1.1736e-12,1.8983e-10,5.5815e-10,4.0492e-09,1.9284e-08,6.9997e-08,2.3133e-07,5.4455e-07
4.3597e-09,1.032e-12,1.8534e-10,4.8568e-10,3.5674e-09,1.6623e-08,5.7076e-08,2.006e-07,4.5864e-07
5.6669e-09,8.6944e-13,1.7517e-10,4.0416e-10,3.0118e-09,1.3635e-08,4.4612e-08,1.6103e-07,3.6772e-07
6.9458e-09,6.96e-13,1.5997e-10,3.1869e-10,2.4174e-09,1.0571e-08,3.3005e-08,1.2061e-07,2.6881e-07
8.1163e-09,5.2265e-13,1.4068e-10,2.3467e-10,1.8215e-09,7.6157e-09,2.2259e-08,8.3416e-08,1.7514e-07
9.1047e-09,3.6026e-13,1.1853e-10,1.5735e-10,1.2615e-09,4.9487e-09,1.3069e-08,5.1771e-08,9.7347e-08
9.8489e-09,2.1905e-13,9.4894e-11,9.1612e-11,7.7258e-10,2.737e-09,6.0389e-09,2.6942e-08,4.0594e-08
1.0302e-08,1.0788e-13,7.1269e-11,4.1575e-11,3.8554e-10,1.1196e-09,1.59e-09,9.6603e-09,8.0107e-09
1.0436e-08,3.3747e-14,4.9136e-11,1.0385e-11,1.2467e-10,1.9818e-10,1.9949e-12,9.4303e-10,5.023e-10
1.0242e-08,1.2998e-15,2.9886e-11,2.8575e-15,6.3492e-12,3.0555e-11,1.3744e-09,1.3907e-09,1.7865e-08
9.7325e-09,1.2581e-14,1.4728e-11,1.108e-11,3.8017e-11,6.2729e-10,5.6209e-09,1.0955e-08,5.9078e-08
8.9393e-09,6.6881e-14,4.6139e-12,4.2921e-11,2.1768e-10,1.9509e-09,1.2475e-08,2.9034e-08,1.2153e-07
7.9123e-09,1.6079e-13,1.8017e-13,9.3524e-11,5.3406e-10,3.9182e-09,2.1505e-08,5.449e-08,2.0122e-07
6.7161e-09,2.884e-13,1.705e-12,1.5971e-10,9.6726e-10,6.4056e-09,3.2145e-08,8.5724e-08,2.932e-07
5.4258e-09,4.417e-13,9.0927e-12,2.3732e-10,1.4901e-09,9.2568e-09,4.3726e-08,1.2077e-07,3.9167e-07
4.1224e-09,6.1106e-13,2.1879e-11,3.2148e-10,2.0696e-09,1.2293e-08,5.5519e-08,1.5744e-07,4.9045e-07
2.888e-09,7.8583e-13,3.926e-11,4.069e-10,2.6696e-09,1.5322e-08,6.6785e-08,1.9341e-07,5.8333e-07
1.8e-09,9.5504e-13,6.0145e-11,4.8821e-10,3.2521e-09,1.8156e-08,7.6814e-08,2.2644e-07,6.6448e-07
9.2681e-10,1.108e-12,8.322e-11,5.6031e-10,3.7807e-09,2.0614e-08,8.4978e-08,2.5443e-07,7.288e-07
3.2331e-10,1.2352e-12,1.0704e-10,6.1866e-10,4.2222e-09,2.2544e-08,9.0763e-08,2.7565e-07,7.7225e-07
2.7398e-11,1.3286e-12,1.301e-10,6.5959e-10,4.5487e-09,2.3824e-08,9.3805e-08,2.8874e-07,7.921e-07
5.7679e-11,1.3823e-12,1.5095e-10,6.8054e-10,4.7398e-09,2.4372e-08,9.3914e-08,2.929e-07,7.8709e-07
4.1225e-10,1.393e-12,1.6829e-10,6.8019e-10,4.7835e-09,2.4156e-08,9.1082e-08,2.8785e-07,7.5755e-07
1.0688e-09,1.36e-12,1.8103e-10,6.5856e-10,4.677e-09,2.3188e-08,8.5488e-08,2.7392e-07,7.0533e-07
1.9861e-09,1.2853e-12,1.8836e-10,6.1701e-10,4.427e-09,2.153e-08,7.7483e-08,2.5198e-07,6.3371e-07
3.1066e-09,1.1736e-12,1.8983e-10,5.5815e-10,4.0492e-09,1.9285e-08,6.7569e-08,2.2341e-07,5.472e-07
