Col0,Col1,Col2,Col3,Col4,Col5,Col6,Col7
87068757.8434845,0.820114404319042,11040985.9980448,831519913.233365,0,831519913.233365,80.5759583265567,7.58096859240734e+15
90003165.1079816,0.122771065908345,8963170.8200341,904527826.186501,0,762725672.829922,99.0098630278345,8.1005697294546e+15
78504455.6347567,0.312940367720882,9107423.57733763,777545965.696374,0,777545965.696374,92.8040615373576,6.16294955450948e+15
77099187.5142972,0.82975244148365,8714131.27840491,767863885.398887,0,767863885.398887,94.9685816495391,5.94428471536477e+15
79072208.4905169,0.811098392158063,8909540.14666762,787918157.320768,0,787918157.320768,95.1758029702947,6.25241415556777e+15
79625722.0003084,0.310656338550512,8843958.69296237,795252930.470029,0,795252930.470029,96.11083977376,6.3402556040704e+15
82082692.7777768,0.262820192603833,9087283.79217815,820148227.919941,0,820148227.919941,96.291998991519,6.73756845365088e+15
83779701.4657645,0.0925667828735084,9185573.03531092,838157683.264778,0,838157683.264778,96.819701990118,7.01903837769262e+15
86686672.4849614,0.0142181006832647,9468080.034975,867547879.326751,0,866991765.100762,96.9739322546619,7.51457918651496e+15
89208803.5083909,0.0941741404188254,9671815.94659043,893487019.224162,0,892744186.860231,97.3101174786892,7.9582106233987e+15
92322448.8339993,3.13465007372958e-08,9980548.21990986,924931303.139064,0,924200064.676736,97.4319327154328,8.52343455870642e+15
95405280.7383094,1.63769233653002e-05,10254738.9021429,956310998.52043,0,955383101.934692,97.6590671460408,9.10216759275562e+15
98623918.0851132,0,10573593.3623113,988784691.853773,0,987830285.165153,97.7538305548159,9.72667721845912e+15
102035671.992085,0,10889932.0127101,1023351555.44122,0,1022191480.06532,97.911970034439,1.04112783588764e+16
105080687.495834,1.06426598371743e-05,11241072.3876301,1053804910.40686,0,1053804910.40686,97.8699416811127,1.10419508845972e+16
108567993.930807,0,11574547.0910602,1089065412.04886,0,1089065412.04886,97.9885999496661,1.17870093061598e+16
111434618.688283,0,11859077.1868922,1117964123.21717,0,1117964123.21717,98.0466029088004,1.2417674242203e+16
114791070.878165,0,12184142.8252844,1151851807.93327,0,1151851807.93327,98.1311638090822,1.31769899533558e+16
117208401.724428,0,12424087.3585235,1176214460.74169,0,1176214460.74169,98.1725436475342,1.37378094347949e+16
120215796.828518,0,12717863.5681824,1206550947.08879,0,1206550947.08879,98.2321384868076,1.44518378071154e+16
122021047.512895,0,12897040.3338158,1224743777.80252,0,1224743777.80252,98.2600147768537,1.48891360361443e+16
124482226.991301,0,13139108.0382409,1249556970.65471,0,1249556970.65471,98.3006342386104,1.54958248367137e+16
125543024.528696,0,13244352.2347719,1260251442.02876,0,1260251442.02876,98.3172724118564,1.57610510078129e+16
127292870.472443,0,13417707.0767982,1277887920.43537,0,1277887920.43537,98.3427496493232,1.62034748731141e+16
127517197.788706,0,13439859.9072042,1280160544.18805,0,1280160544.18805,98.3496006633473,1.6260635731884e+16
