Col0,Col1,Col2,Col3,Col4,Col5,Col6,Col7
136962.87211595,0,13628.3151433345,1376459.82947678,0,1376459.82947678,99.0100000000001,18758828338.25
148093.106598682,0,14735.8148679421,1488317.30166215,0,1488317.30166215,99.01,21931568222.0486
147614.74802856,0,14688.2164111893,1483509.85753012,0,1483509.85753012,99.0099999999996,21790113835.5351
151110.10655088,0.910130881302288,15036.0175834719,1518637.77593067,0,1518637.77593067,99.01,22834264301.8182
150878.789402838,0.900123832951841,15013.0006669685,1516313.06736382,0,1516313.06736382,99.0099999999998,22764409091.666
152768.799150481,0,15201.0636658449,1535307.43025034,0,1535307.43025034,99.0099999999996,23338305993.8802
152676.487682363,0,15191.8783314588,1534379.71147734,0,1534379.71147734,99.0100000000003,23310109891.0227
153815.166561684,0,15305.1811147219,1545823.29258691,0,1545823.29258691,99.0099999999995,23659105464.3985
153813.373797351,0,15305.0027280035,1545805.27552835,0,1545805.27552835,99.0099999999996,23658553958.9237
154488.337322607,0,15372.16410897,1552588.57500597,0,1552588.57500597,99.0100000000003,23866646368.7037
154548.482972971,0,15378.1488248641,1553193.03131127,0,1553193.03131127,99.0099999999999,23885233589.2466
154898.125216003,0,15412.9395283726,1556706.89236564,0,1556706.89236564,99.01,23993429195.4324
155000.102850686,0,15423.0866822806,1557731.75491034,0,1557731.75491034,99.0100000000003,24025031883.7233
155107.898556171,0,15433.8127558708,1558815.08834295,0,1558815.08834295,99.0100000000003,24058460194.5114
155235.550754838,0,15446.5146243794,1560097.97706232,0,1560097.97706232,99.0100000000002,24098076218.1579
155159.695679668,0,15438.9667622934,1559335.64299163,0,1559335.64299163,99.0100000000002,24074531163.4072
155298.617843112,0,15452.7900342105,1560731.79345526,0,1560731.79345526,99.0100000000001,24117660703.9809
155084.482426919,0,15431.4827639252,1558579.75915645,0,1558579.75915645,99.0099999999998,24051196689.6255
155222.133348092,0,15445.1795425085,1559963.13379336,0,1559963.13379336,99.0100000000006,24093910681.1327
154907.637292673,0,15413.8860153769,1556802.48755307,0,1556802.48755307,99.0099999999995,23996376091.5982
155033.060902583,0,15426.366131016,1558062.97923262,0,1558062.97923262,99.0099999999996,24035249972.824
154650.915884283,0,15388.3412804899,1554222.46932948,0,1554222.46932948,99.0100000000004,23916905783.8477
154754.740689584,0,15398.6722347439,1555265.89570914,0,1555265.89570914,99.0099999999996,23949029765.9005
154333.445525425,0,15356.7517991046,1551031.93170956,0,1551031.93170956,99.0099999999998,23818812407.7495
154408.006191149,0,15364.1708626368,1551781.25712632,0,1551781.25712632,99.01,23841832375.9261
153972.233360748,0,15320.8098453635,1547401.79438171,0,1547401.79438171,99.0099999999997,23707448646.0965
154011.718298273,0,15324.7387434926,1547798.61309275,0,1547798.61309275,99.0100000000004,23719609373.1866
153582.415788104,0,15282.0215471458,1543484.17626172,0,1543484.17626172,99.01,23587558439.3102
153582.98798573,0,15282.0784829375,1543489.92677669,0,1543489.92677669,99.0099999999996,23587734198.625
153177.370987113,0,15241.718083077,1539413.52639078,0,1539413.52639078,99.0099999999998,23463306982.5236
153137.230423103,0,15237.7239476744,1539010.11871511,0,1539010.11871511,99.01,23451011341.6584
152768.760768751,0,15201.05984672,1535307.04451872,0,1535307.04451872,99.0100000000003,23338294266.8198
152688.128767019,0,15193.0366626756,1534496.70293023,0,1534496.70293023,99.0100000000005,23313664666.3738
152366.535567388,0,15161.0369433004,1531264.73127334,0,1531264.73127334,99.0099999999994,23215561160.8081
152247.547454786,0,15149.1971835772,1530068.91554129,0,1530068.91554129,99.0099999999996,23179315705.9972
151978.910257731,0,15122.4667834028,1527369.14512369,0,1527369.14512369,99.0099999999996,23097589163.1274
151825.398503418,0,15107.1917929353,1525826.37108647,0,1525826.37108647,99.0099999999996,23050951630.7218
151612.272614072,0,15085.9849743257,1523684.48240689,0,1523684.48240689,99.0100000000001,22986281207.2036
151429.447754286,0,15067.7932208475,1521847.1153056,0,1521847.1153056,99.0099999999994,22930877647.168
151271.419000624,0,15052.0687721459,1520258.94598673,0,1520258.94598673,99.0100000000002,22883042206.4623
151066.327370726,0,15031.661392231,1518197.80061533,0,1518197.80061533,99.0100000000008,22821035265.2794
150960.844674812,0,15021.1654716951,1517137.71264121,0,1517137.71264121,99.0100000000005,22789176624.9326
150741.451603728,0,14999.3350451948,1514932.83956468,0,1514932.83956468,99.0100000000007,22722985231.599
150683.533977466,0,14993.5720259849,1514350.77462448,0,1514350.77462448,99.0099999999993,22705527411.9382
150458.14577869,0,14971.1450619832,1512085.65126031,0,1512085.65126031,99.0100000000003,22637653631.1614
150441.008066631,0,14969.4397958979,1511913.41938569,0,1511913.41938569,99.0099999999996,22632496908.1042
150217.964255417,0,14947.2461071775,1509671.85682493,0,1509671.85682493,99.0100000000001,22565436785.0418
150233.613981458,0,14948.8033131203,1509829.13462515,0,1509829.13462515,99.0100000000005,22570138769.9298
150020.926163769,0,14927.6400842697,1507691.64851124,0,1507691.64851124,99.0100000000006,22506278287.035
150060.732698238,0,14931.6009824907,1508091.69923156,0,1508091.69923156,99.01,22518223497.9319
149865.730620464,0,14912.1975505354,1506131.95260408,0,1506131.95260408,99.0100000000002,22459737214.4056
149920.962406651,0,14917.6933186691,1506687.02518558,0,1506687.02518558,99.0100000000005,22476294968.9364
149749.975469544,0,14900.679482523,1504968.62773482,0,1504968.62773482,99.0099999999998,22425055153.129
149812.288725428,0,14906.8798832278,1505594.86820601,0,1505594.86820601,99.0099999999999,22443721853.1511
149670.381590069,0,14892.7595955039,1504168.7191459,0,1504168.7191459,99.0099999999997,22401223125.317
149732.242414693,0,14898.9149776157,1504790.41273918,0,1504790.41273918,99.0100000000002,22419744418.5323
149623.017302907,0,14888.0466727825,1503692.71395104,0,1503692.71395104,99.0099999999997,22387047306.8261
149678.040764392,0,14893.5217118337,1504245.6928952,0,1504245.6928952,99.01,22403515887.067
149603.513229737,0,14886.105944966,1503496.70044157,0,1503496.70044157,99.0100000000005,22381211170.68
149646.705164491,0,14890.4037031057,1503930.77401368,0,1503930.77401368,99.01,22394136366.588
149607.252434488,0,14886.4780097449,1503534.27898424,0,1503534.27898424,99.0099999999997,22382329980.9966
149635.138581994,0,14889.252785131,1503814.53129823,0,1503814.53129823,99.0099999999998,22390674698.4526
149629.502858639,0,14888.6920096977,1503757.89297947,0,1503757.89297947,99.0099999999996,22388988125.7234
149640.143871314,0,14889.7508300331,1503864.83383334,0,1503864.83383334,99.0100000000005,22392172657.8274
149665.67674815,0,14892.2914462356,1504121.4360698,0,1504121.4360698,99.0100000000003,22399814796.4818
149659.006022175,0,14891.6276841925,1504054.39610344,0,1504054.39610344,99.0100000000002,22397818083.5455
149712.080635327,0,14896.9088055867,1504587.78936426,0,1504587.78936426,99.0100000000002,22413707088.1586
149689.500234961,0,14894.6619717733,1504360.85914911,0,1504360.85914911,99.0099999999997,22406946480.5925
149765.380620747,0,14902.2123523598,1505123.44758834,0,1505123.44758834,99.0100000000004,22429669232.4773
149729.4608045,0,14898.6381970567,1504762.45790272,0,1504762.45790272,99.0099999999998,22418911432.8064
