Col0,Col1,Col2,Col3,Col4,Col5,Col6
1.4668,0,23.623,8.0801,-3.0489,0.42233,2.5963
1.4619-0.11207i,0,-20.825-9.6769i,5.507-3.1503i,0.027289-1.4522i,-1.3297+0.86855i,1.3976+0.52142i
1.4475-0.22324i,0,13.205+18.403i,3.2424-7.6087i,-0.56495+2.0477i,-1.2703-1.2838i,1.9262-0.67198i
1.4235-0.33264i,0,-2.5986-24.655i,0.096036-7.2013i,-2.9485-0.38054i,0.4568-0.22615i,2.459+0.62289i
1.3903-0.43941i,0,-9.2065+26.456i,-5.8087-6.6482i,0.47421-0.74139i,-1.4688+0.52831i,1.0998+0.17523i
1.348-0.5427i,0,21.336-22.319i,-8.1578-4.8226i,-1.0531+1.9105i,-0.84783-1.3083i,1.9616-0.50842i
1.2971-0.6417i,0,-33.797+12.394i,-10.405+0.072896i,-1.2951-0.88691i,-0.11504+0.94572i,1.4183-0.12658i
1.2381-0.73565i,0,46.581+1.0551i,-11.755+6.5055i,-0.48459-1.9083i,0.60513+0.19798i,-0.1639+1.6962i
1.1714-0.82383i,0,-58.623-14.372i,-51.344+9.2638i,21.223-35.992i,19.141+38.032i,-41.736-4.7658i
1.0976-0.90557i,0,67.52+24.112i,81.656+173.17i,-183.47-14.78i,109.21-145.88i,66.436+171.11i
1.0174-0.98028i,0,-70.385-28.601i,176.47-238.72i,117.52+284.2i,-303.74-53.488i,207.98-226.88i
0.93142-1.0474i,0,65.388+28.494i,-251.89-27.219i,168.3-195.01i,74.449+247.56i,-248.08-70.288i
0.84049-1.1065i,0,-53.02-26.006i,38.499+104.03i,-97.5-25.417i,72.185-67.981i,20.142+98.269i
0.74536-1.1571i,0,36.186+23.37i,13.965-0.17576i,2.0087+7.8109i,-8.1286-2.8448i,6.7024-4.7623i
0.64685-1.199i,0,-19.037-21.528i,9.4605+1.6089i,-1.337+0.47812i,0.11123-0.36154i,1.2178-0.09067i
0.54579-1.232i,0,5.1841+19.864i,7.6058-1.545i,0.27529-0.60134i,-1.0359+0.94395i,0.83481-0.41025i
0.44303-1.2557i,0,3.6337-17.03i,3.4424-2.1072i,0.060625-1.6527i,1.1588+0.71239i,-1.3024+0.88927i
0.33944-1.2703i,0,-7.7617+12.197i,0.74613-5.2345i,1.3225-1.3124i,0.012138+2.8298i,-1.3355-1.7202i
0.23587-1.2757i,0,8.7635-5.8307i,0.65728-3.3425i,0.22882-0.52443i,-0.90744+0.59754i,0.74365-0.11593i
0.13318-1.2721i,0,-8.1946-0.4918i,-2.9959-1.2473i,0.25097-1.7269i,1.2833+1.0738i,-1.6262+0.5761i
0.0322-1.2595i,0,6.8307+5.027i,-2.7874-1.8426i,1.1243-0.92739i,-0.37766+2.3818i,-0.71957-1.625i
-0.066265-1.2383i,0,-4.7231-6.8591i,-1.1417+1.2845i,0.048315-0.60486i,-0.54398+0.29104i,0.53464+0.29297i
-0.16144-1.2088i,0,1.8215+6.2857i,-2.2306+2.1296i,0.39173-1.4602i,1.0667+1.2183i,-1.5349+0.15459i
-0.25259-1.1713i,0,1.4537-4.42i,0.048407+0.80483i,0.82831-0.63853i,-0.60359+1.8549i,-0.18147-1.3493i
-0.33903-1.1265i,0,-4.172+2.3942i,1.4966+2.1523i,-0.01877-0.67133i,-0.23935+0.14112i,0.27527+0.5201i
-0.42012-1.0747i,0,5.3907-0.76079i,0.40667+0.78638i,0.46589-1.1934i,0.81749+1.2955i,-1.342-0.19497i
-0.4953-1.0167i,0,-4.7665-0.54141i,1.7958-0.94389i,0.58489-0.47109i,-0.71439+1.4044i,0.18069-1.0339i
-0.56404-0.95296i,0,2.7927+1.7604i,1.2859-0.038148i,-0.017485-0.70944i,0.0025737+0.098265i,0.014727+0.60413i
-0.62591-0.88426i,0,-0.48536-2.8721i,-0.49502-1.2897i,0.49167-0.96233i,0.56926+1.3257i,-1.1017-0.45838i
-0.68053-0.81129i,0,-1.2357+3.481i,0.25062-1.5108i,0.39932-0.38419i,-0.74185+1.028i,0.39569-0.71751i
-0.72761-0.7348i,0,2.0171-3.1353i,-0.72994+0.15559i,0.018778-0.72007i,0.18618+0.12775i,-0.2183+0.58317i
-0.76692-0.65555i,0,-2.093+1.7631i,-1.5191-0.4358i,0.48322-0.76969i,0.33129+1.312i,-0.83825-0.63637i
-0.79832-0.57432i,0,1.9132+0.15091i,-0.080068+0.18953i,0.26341-0.34765i,-0.70608+0.71775i,0.49327-0.42153i
-0.82174-0.49189i,0,-1.7195-1.8059i,-0.51251+1.3668i,0.069907-0.70688i,0.31361+0.20472i,-0.40599+0.48749i
