Col0,Col1,Col2,Col3,Col4,Col5,Col6
-28.429,57.752,-1.2243e-13,7.8036,-8.3628,1.1584,7.1214
-22.518+52.892i,-0.46806-68.11i,-3.8973+1.9617i,3.5669+1.8863i,0.07485-3.9832i,-3.6471+2.3823i,3.8335+1.4302i
45.728+19.586i,-64.225+11.97i,-3.9638-2.9398i,5.1448-2.4979i,-1.5496+5.6167i,-3.4841-3.5212i,5.2834-1.8432i
56.758-11.014i,5.4025+67.205i,0.14223-0.81968i,7.4138+1.7389i,-8.0873-1.0438i,1.2529-0.62029i,6.7446+1.7085i
-12.639-63.007i,78.008-18.077i,-4.1242+1.2511i,2.6347+0.73016i,1.3007-2.0335i,-4.0286+1.4491i,3.0165+0.48062i
-42.4-19.559i,-21.018-77.714i,-2.9209-3.0679i,5.4208-2.0271i,-2.8884+5.2403i,-2.3255-3.5886i,5.3805-1.3945i
-54.156+68.24i,-98.941+25.981i,-0.86544+2.4187i,4.1222+0.013001i,-3.5521-2.4327i,-0.31554+2.594i,3.8903-0.34718i
38.357+74.509i,34.01+126.69i,1.5814-0.19505i,-0.23539+5.0663i,-1.3292-5.2342i,1.6598+0.54302i,-0.44955+4.6523i
110.29+41.4i,232.21-112.4i,64.905+97.137i,-114.88+1.4764i,58.211-98.72i,52.502+104.32i,-114.48-13.072i
122.87-39.125i,-428.86-195.94i,246.32-434.81i,239.75+443.56i,-503.24-40.539i,299.55-400.12i,182.22+469.33i
68.48-213.63i,238.65+560.49i,-844.95-41.51i,487.67-688.67i,322.34+779.52i,-833.11-146.71i,570.47-622.3i
-158.21-85.253i,172.05-510.03i,287.36+648.27i,-698.9-105.81i,461.63-534.88i,204.2+679.01i,-680.46-192.79i
-98.99+9.885i,-290.04+150.66i,172.48-210.17i,88.596+261.17i,-267.43-69.715i,197.99-186.46i,55.247+269.54i
-42.609+69.576i,125.72+74.884i,-23.075-5.1818i,16.391-15.157i,5.5095+21.424i,-22.296-7.8029i,18.384-13.062i
4.9262+60.108i,40.196-66.776i,-0.21743-0.86804i,3.625-0.41372i,-3.6673+1.3114i,0.30509-0.99165i,3.3404-0.24869i
49.963-0.49832i,-50.089-28.981i,-2.9328+2.5298i,2.0321-0.82156i,0.75509-1.6494i,-2.8413+2.5891i,2.2898-1.1253i
16.463-18.181i,-22.958+38.998i,3.4308+1.4211i,-3.3566+2.904i,0.16628-4.5331i,3.1784+1.954i,-3.5724+2.4391i
-24.822-29.795i,35.492+14.649i,0.57414+7.7835i,-3.9207-3.9041i,3.6275-3.5997i,0.033292+7.7617i,-3.6632-4.7182i
-15.724+6.9789i,11.447-26.97i,-2.5742+1.5429i,1.8164-0.097473i,0.62761-1.4384i,-2.489+1.639i,2.0397-0.31798i
-9.9572+24.169i,-25.923-10.452i,3.8743+2.4533i,-4.2576+2.1306i,0.68838-4.7366i,3.5199+2.9454i,-4.4604+1.5802i
14.883+1.1163i,-4.4801+21.419i,-0.65234+6.6233i,-2.2689-3.8068i,3.0838-2.5437i,-1.0359+6.5328i,-1.9737-4.4572i
12.095-5.7741i,18.733+5.5025i,-1.5793+0.6092i,1.35+0.97966i,0.13252-1.6591i,-1.4921+0.79828i,1.4665+0.80358i
-10.82-13.244i,2.511-19.027i,3.2951+2.9865i,-4.0774+0.95043i,1.0745-4.005i,2.9259+3.3416i,-4.21+0.42402i
-10.386-0.85431i,-14.283-1.6902i,-1.4369+5.1924i,-0.77918-3.2109i,2.2719-1.7514i,-1.6556+5.0878i,-0.49776-3.701i
-4.8532+12.236i,-1.562+14.702i,-0.71118+0.14146i,0.71167+1.5862i,-0.051482-1.8414i,-0.6565+0.38706i,0.75502+1.4266i
5.964+4.8029i,12.847-1.4406i,2.5926+3.3221i,-3.6117-0.045633i,1.2779-3.2732i,2.2423+3.5534i,-3.6808-0.53479i
