Col0,Col1,Col2,Col3,Col4,Col5,Col6
278.81,-533.12,-151.13,279.63,-299.67,41.509,255.18
72.108+101.83i,246.03-78.244i,-252.06+167.05i,127.81+67.592i,2.6821-142.73i,-130.69+85.366i,137.37+51.248i
141.89-109.8i,-262.11+79.305i,-157.51+36.372i,184.35-89.509i,-55.526+201.26i,-124.85-126.18i,189.32-66.046i
267.9+94.623i,-94.071+160.03i,96.206+78.623i,265.66+62.309i,-289.79-37.402i,44.897-22.227i,241.68+61.221i
38.917+70.739i,-95.048-317.44i,4.7536+51.576i,94.409+26.164i,46.608-72.868i,-144.36+51.925i,108.09+17.222i
172.27-68.011i,2.0826+503.32i,29.108-227.73i,194.25-72.639i,-103.5+187.78i,-83.329-128.59i,192.8-49.97i
134.64+59.547i,-147.59-478.99i,5.1496-122.08i,147.71+0.46588i,-127.29-87.171i,-11.307+92.951i,139.4-12.441i
-32.323+268.12i,-89.831+287.77i,-46.346-229.73i,-8.4347+181.54i,-47.628-187.56i,59.475+19.458i,-16.109+166.71i
-4618.4+701.09i,1865-4869.1i,2098.3+3331.3i,-4116.7+52.906i,2085.9-3537.5i,1881.3+3738i,-4102-468.41i
11870+16689i,-20375+1573.9i,8539.1-15597i,8590.9+15894i,-18033-1452.6i,10734-14338i,6529.7+16818i
16078-30077i,16820+29011i,-30538-1360.6i,17475-24677i,11550+27933i,-29853-5257.1i,20442-22299i
-28596-640.39i,15996-23229i,10137+23456i,-25044-3791.5i,16542-19166i,7317.2+24331i,-24383-6908.3i
4894.4+10121i,-11265-1966.1i,6151.6-7281.5i,3174.7+9358.7i,-9582.8-2498.1i,7094.8-6681.6i,1979.7+9658.4i
593.85-642.47i,510.14+1229.4i,-743.97+13.37i,587.36-543.11i,197.42+767.7i,-798.93-279.6i,658.75-468.07i
184.02+16.739i,-252.72-233.05i,131.32+72.91i,129.9-14.825i,-131.41+46.992i,10.932-35.534i,119.7-8.9116i
103.71+11.802i,91.203+138.68i,25.135+98.329i,72.816-29.439i,27.057-59.103i,-101.81+92.777i,82.05-40.322i
-88.632+158.36i,-1.1177-350.06i,197.37-2.6069i,-120.28+104.06i,5.9585-162.44i,113.89+70.018i,-128.01+87.403i
-129.08-107.55i,86.38-39.108i,26.232+214.58i,-140.49-139.9i,129.98-128.99i,1.193+278.13i,-131.26-169.07i
100.11+11.616i,100.79-174.07i,-135.88+21.544i,65.088-3.4928i,22.489-51.544i,-89.188+58.73i,73.09-11.394i
-127.43+106.02i,-62.553-115.8i,82.338+101.07i,-152.56+76.347i,24.667-169.73i,126.13+105.54i,-159.83+56.622i
-72.703-133.12i,188.8-174.62i,-59.551+286.83i,-81.301-136.41i,110.5-91.149i,-37.119+234.09i,-70.724-159.72i
73.179+33.438i,-56.83-54.921i,-57.472+81.164i,48.377+35.104i,4.7487-59.45i,-53.466+28.605i,52.548+28.795i
-139.36+43.258i,92.404-158.94i,145.91+150.18i,-146.11+34.057i,38.501-143.51i,104.85+119.74i,-150.86+15.194i
-31.225-125.38i,30.405-115.63i,-15.291+200.57i,-27.92-115.06i,81.411-62.758i,-59.324+182.31i,-17.836-132.62i
31.597+52.922i,51.504-43.616i,-1.8126-4.2383i,25.501+56.84i,-1.8448-65.982i,-23.524+13.87i,27.055+51.118i
-141.6+3.3187i,2.3348-174.78i,93.703+102.34i,-129.42-1.6352i,45.79-117.29i,80.348+127.33i,-131.9-19.163i
-5.4996-94.73i,85.45-32.495i,-84.92+134.15i,8.6087-88.413i,57.486-46.302i,-70.214+138.03i,17.759-101.62i
-5.6537+71.639i,-3.733-115.87i,-23.62+11.495i,1.5887+65.066i,-1.7185-69.728i,0.25296+9.6581i,1.4474+59.378i
-128.08-16.618i,34.568-77.959i,52.393+152.21i,-107.74-28.938i,48.324-94.583i,55.95+130.3i,-108.28-45.052i
16.571-54.402i,64.073-90.73i,-71.079+132.91i,30.854-60.575i,39.247-37.76i,-72.914+101.04i,38.891-70.521i
-28.328+82.66i,-18.11-50.49i,34.073+24.73i,-20.277+63.289i,1.8456-70.773i,18.299+12.556i,-21.456+57.318i
-98.541-28.299i,66.486-113.78i,59.111+134.47i,-83.458-47.886i,47.494-75.649i,32.561+128.96i,-82.388-62.546i
37.359-19.159i,10.63-41.055i,-60.752+66.631i,41.654-33.927i,25.889-34.169i,-69.398+70.545i,48.481-41.43i
-38.285+78.22i,30.845-75.525i,31.588+4.7551i,-38.187+54.334i,6.8709-69.476i,30.823+20.121i,-39.903+47.914i
-62.163-40.874i,18.062-86.758i,6.3267+123.3i,-58.464-58.901i,44.349-60.273i,10.937+123.49i,-56.07-72.068i
50.334+3.0308i,47.101-33.589i,-76.811+54.838i,43.433-10.196i,16.596-33.542i,-61.218+46.141i,49.008-15.906i
-44.398+58.319i,-6.8509-87.642i,35.005+40.95i,-51.019+40.632i,12.143-66.278i,38.006+30.394i,-52.872+33.706i
-31.019-54.317i,49.879-49.977i,-0.86052+134.4i,-34.428-62.685i,39.726-48.164i,-8.1448+114.3i,-30.997-74.326i
48.748+14.559i,15.709-61.175i,-42.865+37.535i,38.374+9.3548i,10.653-34.514i,-49.791+27.632i,42.705+4.9018i
-53.163+31.755i,10.885-50.852i,55.05+39.815i,-58.278+24.36i,16.909-61.649i,40.157+41.706i,-59.944+16.955i
-11.212-61.488i,43.315-73.352i,-16.558+101.55i,-12.804-60.218i,34.316-39.001i,-23.97+102.01i,-8.6278-70.322i
33.346+23.377i,5.0756-28.113i,-41.714+8.0679i,28.535+23.903i,7.4195-36.132i,-36.487+14.818i,31.681+20.253i
-63.008+9.3054i,28.062-74.595i,34.563+50.554i,-59.997+7.4563i,20.722-56.067i,37.79+52.628i,-61.22-0.33207i
0.18939-56.223i,20.174-42.939i,-43.311+98.216i,5.24-52.723i,28.691-32.434i,-35.986+87.482i,9.8744-61.316i
12.556+34.473i,25.567-42.668i,-27.514+15.985i,15.862+33.069i,6.3-37.733i,-22.614+7.368i,17.934+29.838i
-66.794-4.2673i,5.6782-62.826i,39.453+72.238i,-56.662-8.4136i,23.358-49.988i,31.631+61.984i,-57.255-16.437i
10.23-39.806i,41.651-35.961i,-37.517+81.188i,18.892-41.603i,23.311-28.085i,-43.873+71.7i,23.706-48.753i
-4.2837+45.403i,0.72118-49.854i,-3.5539+1.9413i,2.1511+36.903i,6.7403-38.88i,-9.3744+4.7629i,3.3058+33.776i
-59.383-12.185i,27.633-45.299i,29.014+66.323i,-49.118-21.909i,24.757-43.831i,22.587+68.881i,-48.963-29.985i
22.384-20.129i,23.208-47.598i,-52.399+55.513i,27.728-28.344i,18.526-25.549i,-47.581+55.724i,32.465-34.168i
-13.895+49.473i,9.1958-30.869i,-3.6105+4.4798i,-11.016+35.848i,8.2289-39.313i,2.1977+6.2814i,-10.584+32.581i
-42.859-20.454i,26.294-60.274i,9.891+80.601i,-38.471-32.063i,24.989-37.954i,11.692+72.736i,-37.519-39.994i
33.368-4.9712i,16.963-24.613i,-51.02+50.641i,31.724-14.417i,14.575-24.412i,-47.343+40.578i,36.16-19.074i
-19.893+42.833i,17.18-48.101i,15.584+15.723i,-22.339+30.678i,10.307-38.919i,11.293+11.03i,-22.409+27.099i
