Col0,Col1,Col2,Col3,Col4,Col5,Col6
4654.8562067794,-24350.4220934905,-29540.0489137194,-35722.4733033269,-86723.7899180907,-162729.010481837,-314827.918606605
4654.8562067794,-24350.4220934905,-29540.0489137194,-35722.4733033269,-86723.7899180907,-162729.010481837,-314827.918606605
4654.8562067794,-24350.4220934905,-29540.0489137194,-35722.4733033269,-86723.7899180907,-162729.010481837,-314827.918606605
4654.8562067794,-24350.4220934905,-29540.0489137194,-35722.4733033269,-86723.7899180907,-162729.010481837,-314827.918606605
652.914030554198,-24350.4220934905,-29540.0489137194,-35722.4733033269,-86723.7899180907,-162729.010481837,-314827.918606605
652.914030554198,-11990.8664325332,-29540.0489137194,-35722.4733033269,-86723.7899180907,-162729.010481837,-314827.918606605
652.914030554198,-11990.8664325332,6381.13761559918,-43513.4907078825,-88454.1892827539,-158814.301579025,-337298.560267536
652.914030554198,-11990.8664325332,6381.13761559918,-43513.4907078825,-88454.1892827539,-158814.301579025,-337298.560267536
-7511.95664593732,-11990.8664325332,6381.13761559918,-43513.4907078825,-88454.1892827539,-158814.301579025,-337298.560267536
-7511.95664593732,-11990.8664325332,6381.13761559918,-43513.4907078825,-88454.1892827539,-158814.301579025,-337298.560267536
-7511.95664593732,10219.0427448562,6381.13761559918,-43513.4907078825,-88454.1892827539,-158814.301579025,-337298.560267536
-7511.95664593732,10219.0427448562,6381.13761559918,-43513.4907078825,-88454.1892827539,-158814.301579025,-337298.560267536
-10433.4951657728,10219.0427448562,-53160.2626275436,-40458.4950001052,-71766.1959775842,-179488.604675563,-321919.552334044
-10433.4951657728,10219.0427448562,-53160.2626275436,-40458.4950001052,-71766.1959775842,-179488.604675563,-321919.552334044
-10433.4951657728,10219.0427448562,-53160.2626275436,-40458.4950001052,-71766.1959775842,-179488.604675563,-321919.552334044
-10433.4951657728,-1956.9814022635,-53160.2626275436,-40458.4950001052,-71766.1959775842,-179488.604675563,-321919.552334044
-11559.3336957686,-1956.9814022635,-53160.2626275436,-40458.4950001052,-71766.1959775842,-179488.604675563,-321919.552334044
-11559.3336957686,-1956.9814022635,-53160.2626275436,-40458.4950001052,-71766.1959775842,-179488.604675563,-321919.552334044
-11559.3336957686,-1956.9814022635,-7249.88583594254,-50876.6833874144,-85321.9433937255,-155591.572125863,-322189.319399818
-11559.3336957686,-1956.9814022635,-7249.88583594254,-50876.6833874144,-85321.9433937255,-155591.572125863,-322189.319399818
-11939.9996079213,-20541.5069648449,-7249.88583594254,-50876.6833874144,-85321.9433937255,-155591.572125863,-322189.319399818
-11939.9996079213,-20541.5069648449,-7249.88583594254,-50876.6833874144,-85321.9433937255,-155591.572125863,-322189.319399818
-11939.9996079213,-20541.5069648449,-7249.88583594254,-50876.6833874144,-85321.9433937255,-155591.572125863,-322189.319399818
-11939.9996079213,-20541.5069648449,-7249.88583594254,-50876.6833874144,-85321.9433937255,-155591.572125863,-322189.319399818
-11570.4314324609,-20541.5069648449,-11278.2899949542,-23601.3566832218,-99733.3631987632,-185420.772158407,-377361.054459084
-11570.4314324609,-23879.9880352232,-11278.2899949542,-23601.3566832218,-99733.3631987632,-185420.772158407,-377361.054459084
-11570.4314324609,-23879.9880352232,-11278.2899949542,-23601.3566832218,-99733.3631987632,-185420.772158407,-377361.054459084
-11570.4314324609,-23879.9880352232,-11278.2899949542,-23601.3566832218,-99733.3631987632,-185420.772158407,-377361.054459084
-10473.850497029,-23879.9880352232,-11278.2899949542,-23601.3566832218,-99733.3631987632,-185420.772158407,-377361.054459084
-10473.850497029,-23879.9880352232,-11278.2899949542,-23601.3566832218,-99733.3631987632,-185420.772158407,-377361.054459084
-10473.850497029,-20908.4574305113,-47607.1326775714,-85989.0343668212,-16963.5518133087,-77913.7734144289,-138125.60182685
-10473.850497029,-20908.4574305113,-47607.1326775714,-85989.0343668212,-16963.5518133087,-77913.7734144289,-138125.60182685
