Col0,Col1,Col2,Col3,Col4,Col5,Col6
155.85,-154.9,4.0865e-14,154.9,-155.85,1.8884,153.9
121.9+44.728i,-87.721-94.869i,-20.821+31.368i,121.49+43.994i,-88.556-94.96i,-19.545+32.213i,121.02+43.256i
69.528+23.337i,32.639-66.138i,-66.579+28.058i,70.132+22.828i,31.854-66.061i,-66.349+28.596i,70.677+22.318i
74.233-32.712i,58.181+57.41i,-91.708-17.366i,75.142-32.164i,57.134+57.588i,-91.601-17.91i,75.993-31.612i
110.7-39.529i,-35.728+111.7i,-52.651-51.374i,110.79-38.459i,-36.801+111.64i,-51.79-52.252i,110.82-37.385i
43.187-31.389i,-52.186-11.44i,11.193+52.082i,42.878-31.871i,-52.27-10.874i,11.515+52.007i,42.521-32.348i
-209.08-356.25i,395.24-124.67i,-183.4+466.89i,-204.72-360.34i,395.65-118.71i,-188.04+465.03i,-200.38-364.37i
755.76+7270.9i,-6610.2-3118.7i,5932.4-4150.9i,664.86+7278.7i,-6571.7-3201.5i,5984.7-4075i,573.81+7285.4i
7517.3-13984i,8365.1+13495i,-15897+390.25i,7692.9-13889i,8194.4+13598i,-15901+191.18i,7867.3-13792i
-10002+5399.7i,392.36-11360i,9640.9+6063.7i,-10069+5273.5i,535.22-11354i,9563.9+6184.4i,-10135+5146.4i
2055.4+167.86i,-1215+1665.6i,-823.25-1826.9i,2052.6+193.16i,-1235.8+1651i,-799.8-1837.3i,2049.5+218.43i
121.87+41.233i,-128.1+0.90169i,8.1625-49.756i,121.09+41.782i,-128.66+0.13375i,9.6253-49.514i,120.26+42.326i
48.523-20.606i,17.208-50.481i,-42.09+45.309i,49.079-20.875i,16.981-49.907i,-41.96+45.425i,49.577-21.136i
31.908+49.492i,5.6986-58.577i,13.954-3.3591i,31.732+49.567i,5.8898-58.591i,14.172-2.4296i,31.496+49.633i
-47.402+70.633i,8.1961-84.677i,90.312+32.941i,-48.246+70.069i,9.2059-84.565i,89.751+34.44i,-49.135+69.486i
-91.45+6.4047i,32.068-86.284i,81.023+109.95i,-91.911+5.0764i,33.201-85.451i,79.69+110.91i,-92.402+3.7413i
-48.573-58.175i,42.081-63.826i,6.2173+126.56i,-48.134-59.394i,42.637-62.656i,5.121+126.6i,-47.733-60.601i
25.389-48.743i,30.649-46.408i,-39.294+66.016i,26.179-49.068i,30.74-45.558i,-39.461+65.91i,26.913-49.379i
47.197+14.721i,17.829-46.481i,-7.249+3.4831i,47.43+15.124i,17.999-46.047i,-6.9418+4.1333i,47.592+15.527i
2.4249+54.098i,16.61-51.772i,54.631+7.5905i,1.8662+54.339i,17.081-51.387i,54.435+8.9019i,1.2448+54.564i
-47.891+26.542i,19.883-51.336i,69.105+61.105i,-48.516+26.017i,20.48-50.779i,68.17+62.138i,-49.184+25.479i
-41.802-30.966i,20.271-48.352i,24.398+91.427i,-41.666-31.823i,20.816-47.676i,23.482+91.658i,-41.57-32.674i
5.1782-27.642i,12.966-25.545i,-28.433+84.328i,5.149-28.181i,12.617-25.134i,-29.433+83.967i,5.0721-28.729i
-438.92+387.68i,-470.7+346.79i,-513.3+398.05i,-453.04+369.56i,-484.73+328.6i,-527.16+379.45i,-466.53+350.92i
2257.8-185.8i,2254.6-232.34i,2261.7-166.84i,2264.3-100.99i,2260.6-147.49i,2266.4-81.494i,2267.5-15.992i
-2201.6-1123.6i,-2150.1-1217.5i,-2099-1180.6i,-2157.1-1205i,-2103.6-1297.9i,-2052.4-1259.9i,-2109.5-1284.8i
