Col0,Col1,Col2,Col3,Col4,Col5,Col6
76.404,49.942,-3.0166,21.778,-20.322,-2.8592e-13,20.322,-21.778
-62.711+5.5866i,40.671-67.44i,-10.641+3.9329i,8.4477+6.0226i,1.5877-10.387i,-10.149+5.1087i,9.2887+4.9122i,0.19492-10.373i
68.004-6.2474i,-28.419-48.394i,-11.409-6.0207i,12.826-8.1075i,-2.3357+14.709i,-10.322-7.6556i,13.398-6.505i,-4.0354+14.627i
-53.678+0.21231i,-87.942-11.141i,-2.5279-2.6201i,20.745+4.5359i,-19.704-2.2407i,0.37038-2.1346i,19.307+4.5283i,-21.061-2.7181i
69.785+9.253i,-41.49+54.239i,-10.82+2.6909i,5.7585+2.5213i,4.6484-5.3929i,-10.74+3.2579i,6.8611+1.9015i,3.3872-5.2957i
-75.429-14.318i,24.369+97.069i,-9.0369-6.5072i,13.999-6.8432i,-5.9653+13.841i,-7.6064-7.9892i,14.117-5.279i,-7.5219+13.647i
104.51+5.9829i,93.58+25.526i,-3.6502+5.7431i,11.17+0.97129i,-8.3197-6.784i,-2.2538+6.2988i,10.735+0.033857i,-9.2504-6.3351i
-117.9+18.891i,105.3-75.283i,3.8492-2.422i,-0.045589+14.063i,-3.8003-12.649i,4.1182-0.50794i,-0.61298+13.193i,-3.4613-13.631i
7.9606-26.908i,121.19-428.66i,198.66+230.28i,-295.52+41.67i,118.04-274.93i,169.02+252.96i,-299.18+3.8449i,151.59-257.08i
187.17+506.44i,-1362.5+79.646i,492.69-1204.8i,764.3+1069.8i,-1311.8+58.333i,641.45-1132.3i,624.34+1155.1i,-1310.5-105.57i
507.69-883.33i,1171.3+1693.9i,-2196.6+167.57i,1034.4-1938i,1088.1+1909.2i,-2200.4-108.1i,1270-1793.4i,839.42+2030i
-793.5+105.62i,669.08-1607.9i,953.08+1581.5i,-1839.4-44.69i,1018.1-1533.6i,748.33+1688.2i,-1820.1-275.55i,1202.1-1392.9i
145.35+138.45i,-795.32+109.25i,375.66-600.43i,313.93+647.63i,-712.08-93.597i,449.18-547.32i,230.72+680.14i,-696.43-181.55i
24.589+84.541i,39.95+164.71i,-61.175-6.4554i,36.824-44.301i,21.712+53.931i,-60.092-13.494i,42.686-39.47i,14.348+55.792i
-21.182-77.115i,57.176+60.496i,-1.918-1.903i,10.033-1.4901i,-8.8334+3.4999i,-0.56623-2.2605i,9.4402-1.0774i,-9.5503+3.4151i
28.357+52.154i,63.944-13.847i,-7.7552+6.3297i,4.5373-1.3149i,2.8928-4.9206i,-7.6374+6.5881i,5.2918-2.1395i,1.9664-4.2953i
-22.672-33.55i,14.36-50.433i,9.4509+2.2547i,-8.0412+8.6536i,-0.83349-11.528i,8.9344+3.7008i,-8.7411+7.5624i,0.43303-11.805i
6.8766+27.311i,-17.268-39.643i,2.8801+20.007i,-10.72-7.8866i,8.6078-11.555i,1.4952+20.27i,-10.21-10.167i,9.4465-9.3741i
