Col0,Col1,Col2,Col3,Col4,Col5,Col6
949.5,-1280.3,-1.9646e-11,1280.3,-1372,190.05,1168.4
414.75+797.06i,100.03-654.38i,-639.4+321.85i,585.19+309.47i,12.28-653.49i,-598.35+390.85i,628.94+234.64i
1211.1-276.72i,-147.15+926.68i,-650.31-482.31i,844.06-409.81i,-254.23+921.48i,-571.62-577.7i,866.8-302.39i
1655.9-93.09i,-1241.3-141.17i,23.334-134.48i,1216.3+285.28i,-1326.8-171.24i,205.56-101.77i,1106.5+280.3i
17.548-302.45i,292.85-339.75i,-676.62+205.25i,432.25+119.79i,213.4-333.63i,-660.94+237.74i,494.9+78.852i
311.66-128.65i,-375.81+871.96i,-479.2-503.32i,889.35-332.58i,-473.88+859.73i,-381.52-588.76i,882.74-228.79i
954.57+736.32i,-524.14-427.39i,-141.99+396.83i,676.3+2.133i,-582.77-399.11i,-51.769+425.58i,638.25-56.959i
772.2+695.1i,-239.42-796.89i,259.45-32i,-38.618+831.18i,-218.06-858.74i,272.31+89.089i,-73.755+763.27i
-18741+1755.8i,7436.7-17321i,10649+15937i,-18848+242.23i,9550.2-16196i,8613.7+17114i,-18781-2144.6i
47193+67445i,-82640+3675i,40411-71336i,39334+72772i,-82563-6650.9i,49146-65645i,29896+76999i
65129-1.2105e+05i,68549+1.2028e+05i,-1.3863e+05-6810.2i,80009-1.1298e+05i,52883+1.2789e+05i,-1.3668e+05-24070i,93592-1.021e+05i
-1.1477e+05-2692.4i,64141-96618i,47145+1.0636e+05i,-1.1466e+05-17359i,75735-87754i,33502+1.114e+05i,-1.1164e+05-31629i
19994+39623i,-44861-5896.6i,28298-34481i,14535+42849i,-43875-11438i,32483-30592i,9063.9+44221i
1084.9-3106.8i,1367.9+3397.7i,-3785.8-850.13i,2689.2-2486.6i,903.9+3514.9i,-3657.9-1280.2i,3016.1-2143i
213.48+1189.6i,-556.5+220.49i,-35.673-142.41i,594.73-67.875i,-601.67+215.15i,50.054-162.69i,548.03-40.802i
