Col0,Col1,Col2,Col3,Col4,Col5,Col6
43.556,-40.644,-2.7568e-13,-184.87,-225.14,0.18294,-0.1214,0.04293
16.895+12.045i,3.1754-20.774i,-20.298+10.217i,241.83+13.042i,-133.64+176.46i,-0.20006+0.16746i,0.30784-0.19926i,-0.37267+0.20325i
25.651-16.215i,-4.6714+29.418i,-20.645-15.311i,-192.06-25.505i,65.774+204.52i,-0.10789-0.26702i,0.2239+0.29016i,-0.30867-0.27281i
41.49+9.0717i,-39.408-4.4815i,0.74077-4.2692i,257.76+40.38i,208.1+52.029i,0.16398+0.050224i,-0.10599-0.049639i,0.033216+0.042129i
11.517+5.0427i,9.2969-10.786i,-21.48+6.5159i,-220.07-53.761i,165.77-165.85i,-0.26276+0.049664i,0.37071-0.092515i,-0.42693+0.12246i
27.998-13.686i,-11.931+27.681i,-15.213-15.978i,299.26+70.602i,-51.464-273.1i,-0.017217-0.27051i,0.12199+0.29565i,-0.20975-0.27954i
22.339+1.9426i,-16.639-13.568i,-4.5075+12.598i,-309.94-85.273i,-294.9-164.96i,0.080384+0.10198i,-0.035422-0.11777i,-0.014482+0.11713i
-0.091179+28.127i,-7.6007-25.298i,8.2365-1.0159i,401.53+79.453i,-384.22+111.51i,0.081638+0.32636i,-0.085635-0.2127i,0.077685+0.069367i
-591.05+83.341i,236.09-549.87i,338.05+505.92i,-1059.4+30.765i,-234.9+383.63i,-0.95311+2.4901i,-0.028113-2.6412i,1.0054+2.4238i
1528.6+2139.6i,-2623.5+116.67i,1282.9-2264.6i,1727.6+2177.2i,53.939+474.34i,18.886-2.0209i,-16.743+8.7722i,12.264-14.3i
2068.7-3875.9i,2176.2+3818.5i,-4400.8-216.2i,2100.9-3337.7i,369.66+371.35i,-22.276-33.814i,33.211+23.345i,-39.512-9.6194i
-3678.8-89.38i,2036.2-3067.2i,1496.7+3376.4i,-3295.1-887.76i,499.3+8.8439i,-20.993+36.211i,6.2398-41.383i,9.3841+40.781i
627.85+1295.3i,-1424.2-187.19i,898.35-1094.6i,239.41+1729.5i,327.41-243.54i,21.135+1.363i,-20.074+6.4648i,16.212-13.391i
73.649-88.603i,43.424+107.86i,-120.18-26.988i,191.7-420.96i,100.34-331.32i,-1.482-3.1615i,2.5937+2.4596i,-3.3436-1.4146i
20.065-2.9803i,-17.667+6.9998i,-1.1325-4.521i,-9.5311+271.31i,-113.86-245.2i,0.18236-0.19746i,-0.093415+0.24125i,-0.0085671-0.25138i
9.0746-2.6297i,5.7856-9.8413i,-15.275+13.176i,9.6779-199.62i,-183.7-63.039i,0.044846+0.12495i,-0.001913-0.10695i,-0.041287+0.074015i
-16.082+17.307i,-1.667-23.057i,17.869+7.4015i,-24.413+151.02i,-109.57+79.301i,-0.0079692+0.33346i,-0.080441-0.25681i,0.15763+0.14432i
-21.44-15.773i,17.216-23.11i,2.9903+40.539i,7.3498-127.01i,18.39+105.78i,-0.12471+0.14277i,0.075197-0.19726i,-0.015196+0.22423i
8.1481+0.64881i,4.9073-8.104i,-13.407+8.0359i,-30.514+99.857i,97.559+33.906i,0.12419+0.16691i,-0.096123-0.10255i,0.054645+0.023884i
-20.768+13.789i,0.55053-24.79i,20.178+12.778i,13.521-88.499i,86.009-55.62i,-0.044503+0.33444i,-0.062605-0.28029i,0.16098+0.18703i
-13.168-16.127i,15.458-17.141i,-3.3976+34.496i,-33.662+70.305i,15.919-90.181i,-0.083208+0.095592i,0.063032-0.14276i,-0.034061+0.17001i
6.3143+5.939i,1.7834-8.5027i,-8.2255+3.1729i,18.654-64.396i,-44.472-56.677i,0.1072+0.18536i,-0.095116-0.11376i,0.069766+0.026289i
