Col0,Col1,Col2,Col3,Col4,Col5,Col6
-830.22,-348.7,-1.9071e-12,130.06,-139.38,19.306,118.69
958.86+703.02i,-198.87+0.88306i,-64.955+32.695i,59.448+31.438i,1.2475-66.386i,-60.784+39.705i,63.892+23.836i
-72.13-1119.5i,-196+223.3i,-66.064-48.996i,85.746-41.632i,-25.826+93.611i,-58.069-58.687i,88.056-30.719i
-299.95+1062.8i,-263.28+166.04i,2.3705-13.661i,123.56+28.981i,-134.79-17.396i,20.882-10.338i,112.41+28.475i
1248.7-514.12i,-51.517+182.47i,-68.736+20.851i,43.911+12.169i,21.678-33.892i,-67.143+24.151i,50.276+8.0104i
-1211.5-366.88i,-56.326+324.9i,-48.681-51.131i,90.347-33.786i,-48.14+87.338i,-38.758-59.81i,89.675-23.242i
1160.9+1304.5i,-6.4204+193.89i,-14.424+40.312i,68.704+0.21669i,-59.202-40.545i,-5.2591+43.233i,64.838-5.7863i
-160.67-2077.1i,83.991+139.59i,26.357-3.2508i,-3.9231+84.438i,-22.153-87.237i,27.663+9.0503i,-7.4926+77.538i
-4581.3+3432.4i,916.96-1571.4i,1081.8+1619i,-1914.7+24.607i,970.18-1645.3i,875.04+1738.6i,-1907.9-217.86i
11391+9844.2i,-8192.7+516.88i,4105.3-7246.8i,3995.8+7392.7i,-8387.4-675.65i,4992.6-6668.7i,3037.1+7822.2i
9714.7-20659i,7192.4+12310i,-14083-691.83i,8127.9-11478i,5372.3+12992i,-13885-2445.2i,9507.8-10372i
-19264-2759.8i,6754.9-9779.7i,4789.3+10804i,-11648-1763.5i,7693.8-8914.6i,3403.4+11317i,-11341-3213.2i
1011+9141.7i,-4323.6-617.5i,2874.7-3502.9i,1476.6+4352.9i,-4457.1-1161.9i,3299.9-3107.7i,920.78+4492.3i
2565.7-836.98i,353.62+278.64i,-384.59-86.363i,273.19-252.61i,91.825+357.07i,-371.59-130.05i,306.4-217.7i
-1145-470.02i,128.18-82.87i,-3.6239-14.467i,60.417-6.8953i,-61.122+21.857i,5.0848-16.528i,55.673-4.1449i
533.38+811.13i,165.99-163.97i,-48.879+42.164i,33.868-13.693i,12.585-27.49i,-47.354+43.152i,38.163-18.754i
-1.9226-696.52i,101.58-220.95i,57.18+23.685i,-55.943+48.399i,2.7714-75.552i,52.973+32.567i,-59.54+40.652i
-528.99+387.53i,122.02-223.61i,9.5691+129.72i,-65.345-65.068i,60.458-59.994i,0.55487+129.36i,-61.053-78.636i
504.56-58.246i,46.655-167.3i,-42.903+25.715i,30.273-1.6245i,10.46-23.974i,-41.483+27.316i,33.995-5.2997i
-463.7-187.97i,3.3981-203.97i,64.571+40.889i,-70.959+35.51i,11.473-78.944i,58.664+49.09i,-74.341+26.336i
53.798+305.49i,30.133-157.21i,-10.872+110.39i,-37.815-63.447i,51.396-42.395i,-17.265+108.88i,-32.895-74.287i
110.95-291.13i,-25.62-104.82i,-26.322+10.153i,22.501+16.328i,2.2087-27.651i,-24.868+13.305i,24.441+13.393i
-338.15+173.43i,-25.625-122.52i,54.918+49.775i,-67.956+15.84i,17.908-66.75i,48.765+55.693i,-70.167+7.067i
221.12-5.6883i,7.8693-71.272i,-23.949+86.54i,-12.986-53.515i,37.866-29.19i,-27.593+84.797i,-8.296-61.683i
-165.34-145.3i,-20.52-44.517i,-11.853+2.3577i,11.861+26.437i,-0.85804-30.689i,-10.942+6.451i,12.584+23.776i
-63.511+219.95i,5.2026-63.456i,43.21+55.369i,-60.195-0.76055i,21.298-54.554i,37.371+59.224i,-61.347-8.9131i
98.681-190.74i,34.218-29.405i,-31.029+65.605i,4.004-41.122i,26.738-21.536i,-32.658+64.201i,8.2599-47.266i
-185.11+77.013i,16.808-31.29i,0.0074353-0.00018253i,0.73893+30.263i,-0.79932-32.432i,0.11766+4.4921i,0.67323+27.618i
85.764+62.361i,44.099-55.291i,31.224+58.416i,-50.11-13.46i,22.476-43.992i,26.023+60.604i,-50.364-20.954i
-67.899-158.25i,55.316-37.065i,-33.634+47.756i,14.351-28.174i,18.255-17.563i,-33.913+46.996i,18.089-32.8i
-52.156+167.3i,35.194-54.002i,9.2485+1.3719i,-9.4311+29.437i,0.85841-32.918i,8.5112+5.8398i,-9.9795+26.659i
53.307-93.776i,51.726-72.677i,19.509+59.054i,-38.818-22.272i,22.09-35.186i,15.145+59.979i,-38.32-29.091i
-114.66-15.94i,44.547-57.834i,-32.803+32.803i,19.374-15.78i,12.041-15.893i,-32.278+32.812i,22.549-19.27i
58.726+102.01i,22.393-73.472i,15.838+5.2322i,-17.761+25.271i,3.1958-32.314i,14.336+9.3584i,-18.559+22.285i
-54.217-124.93i,31.639-77.771i,8.5134+57.393i,-27.192-27.396i,20.627-28.034i,5.0869+57.439i,-26.079-33.52i
-40.289+84.008i,17.157-59.169i,-29.368+20.683i,20.201-4.7424i,7.719-15.601i,-28.473+21.461i,22.794-7.3981i
56.757-11.446i,2.123-67.581i,19.782+10.574i,-23.73+18.899i,5.648-30.827i,17.677+14.137i,-24.592+15.677i
-108.24-51.077i,12.842-59.617i,-1.3169+53.647i,-16.013-29.156i,18.477-22.402i,-3.7883+53.163i,-14.417-34.57i
52.829+76.619i,1.6711-41.066i,-24.082+11.39i,17.848+4.3511i,4.955-16.053i,-23.159+12.852i,19.863+2.2799i
-22.906-63.432i,-1.1604-47.051i,21.183+16.532i,-27.106+11.33i,7.8647-28.674i,18.678+19.398i,-27.881+7.8858i
-68.15+28.524i,13.424-36.208i,-9.5786+48.155i,-5.9554-28.008i,15.961-18.14i,-11.149+47.448i,-4.0129-32.708i
76.126+7.3912i,7.0421-25.29i,-17.674+4.8911i,13.272+11.118i,3.4509-16.806i,-16.97+6.8919i,14.736+9.4198i
-87.722-31.64i,12.35-34.692i,20.267+22.361i,-27.906+3.468i,9.6383-26.078i,17.577+24.478i,-28.474-0.15445i
11.957+41.58i,25.435-27.388i,-15.956+41.365i,2.4372-24.523i,13.344-15.086i,-16.738+40.689i,4.5927-28.519i
25.668-39.269i,18.74-26.108i,-10.837+1.0673i,7.3778+15.381i,2.9302-17.55i,-10.518+3.427i,8.3414+13.878i
-82.686+26.261i,24.587-38.238i,17.379+27.444i,-26.354-3.9133i,10.864-23.25i,14.712+28.83i,-26.63-7.645i
56.039-3.7048i,30.499-33.277i,-20.259+33.8i,8.7868-19.35i,10.842-13.063i,-20.406+33.349i,11.026-22.676i
-37.134-23.56i,20.182-36.746i,-4.2072-0.31034i,1.0005+17.164i,3.135-18.084i,-4.3602+2.2153i,1.5376+15.71i
-27.982+44.802i,23.356-46.043i,12.968+31.307i,-22.846-10.19i,11.515-20.387i,10.506+32.038i,-22.773-13.947i
38.066-47.521i,22.366-38.981i,-22.437+26.011i,12.897-13.183i,8.6166-11.883i,-22.131+25.918i,15.1-15.892i
-55.585+26.225i,10.989-41.644i,1.6636+0.4167i,-5.1238+16.674i,3.8274-18.285i,1.0222+2.9216i,-4.9228+15.154i
17.47+11.039i,14.059-44.533i,7.5529+33.635i,-17.894-14.913i,11.623-17.653i,5.4379+33.831i,-17.45-18.602i
-7.1905-44.855i,10.999-34.306i,-22.592+18.541i,14.755-6.7055i,6.7792-11.355i,-22.02+18.874i,16.819-8.8715i
-26.656+55.486i,3.4476-35.408i,6.3406+2.8106i,-10.39+14.269i,4.7939-18.102i,5.2526+5.1301i,-10.423+12.604i
17.671-35.788i,9.6362-33.736i,1.6839+34.276i,-12.081-17.817i,11.263-15.183i,0.011212+34.088i,-11.275-21.347i
-29.464-3.2828i,7.979-23.883i,-20.958+11.872i,14.525-0.54558i,5.3926-11.288i,-20.304+12.642i,16.366-2.2603i
8.8145+39.028i,5.8475-26.447i,9.5267+6.3656i,-14.35+10.425i,5.8511-17.538i,8.0793+8.3692i,-14.509+8.5689i
-13.141-51.261i,14.418-24.404i,-4.1003+33.244i,-6.0074-18.825i,10.538-13.07i,-5.2858+32.832i,-4.8736-22.114i
-12.138+34.774i,13.216-18.678i,-17.887+6.3999i,12.516+4.7639i,4.4741-11.505i,-17.31+7.5657i,14.077+3.3974i
13.236-1.6327i,13.788-24.517i,11.075+10.544i,-16.726+5.6855i,6.85-16.637i,9.3856+12.144i,-16.908+3.6233i
-34.451-27.729i,20.973-23.715i,-9.3123+30.698i,-0.23822-18.035i,9.5676-11.371i,-10.015+30.221i,1.1649-21.015i
19.486+37.906i,17.43-22.106i,-13.811+2.3965i,9.1537+8.82i,4.0017-11.848i,-13.442+3.8775i,10.404+7.6932i
-13.286-27.08i,17.541-29.262i,10.989+14.817i,-17.42+0.61308i,7.6791-15.474i,9.1908+15.97i,-17.528-1.64i
-22.725+5.6648i,20.912-27.799i,-13.551+26.922i,4.7393-15.695i,8.4725-10.103i,-13.819+26.521i,6.3366-18.319i
30.184+12.597i,14.579-27.392i,-9.2094-2.8755e-12i,4.9347+11.371i,3.9212-12.186i,-9.1368+1.6879i,5.8703+10.377i
-40.046-19.796i,14.118-32.473i,9.414+18.702i,-16.498-4.2561i,8.2657-14.141i,7.6396+19.411i,-16.453-6.6602i
9.2671+16.916i,14.809-28.26i,-16.531+22.29i,8.5511-12.171i,7.3674-9.2467i,-16.446+22.08i,10.257-14.416i
10.155-9.9549i,8.2822-27.106i,-4.5624-0.79165i,0.3798+12.324i,4.1554-12.416i,-4.8329+0.98104i,1.0238+11.364i
-40.198+3.6475i,9.4539-29.004i,6.6125+21.798i,-14.171-8.4562i,8.5744-12.736i,4.9827+22.105i,-13.914-10.953i
30.59+1.6168i,10.052-22.752i,-18.095+17.228i,10.959-7.9041i,6.3504-8.7575i,-17.765+17.289i,12.687-9.7704i
-19.637-7.7199i,5.9504-21.821i,-0.31546-0.11287i,-4.0103+11.741i,4.6131-12.469i,-0.93335+1.6219i,-3.6128+10.731i
-15.764+14.474i,9.8953-22.302i,2.937+23.813i,-10.769-11.625i,8.6036-11.354i,1.5489+23.793i,-10.264-14.144i
24.424-17.805i,11.144-16.738i,-18.222+12.176i,11.874-3.367i,5.498-8.5675i,-17.766+12.548i,13.54-4.8801i
-32.08+12.704i,9.4396-18.043i,3.1567+1.7883i,-7.7966+9.819i,5.1986-12.311i,2.2256+3.3739i,-7.5836+8.6951i
8.6872+1.4522i,14.61-19.029i,-1.2074+24.576i,-6.6936-13.529i,8.3805-10.078i,-2.2875+24.329i,-5.9292-15.995i
1.8643-18.194i,14.917-15.817i,-17.021+7.5449i,11.347+0.9806i,4.861-8.5958i,-16.556+8.2311i,12.882-0.22511i
-20.515+27.05i,13.673-19.53i,5.5777+4.5775i,-10.636+6.8652i,5.8201-11.935i,4.3986+5.9246i,-10.534+5.5856i
12.783-20.817i,17.627-20.743i,-5.401+24.052i,-2.3821-14.072i,7.9538-8.9711i,-6.1416+23.686i,-1.3721-16.412i
-12.928+1.5588i,15.506-19.038i,-14.711+3.6849i,9.5626+4.7326i,4.4633-8.7566i,-14.346+4.6515i,10.91+3.7718i
-1.828+19.658i,13.633-23.168i,6.7873+7.8684i,-12.303+3.2593i,6.3971-11.361i,5.4474+8.916i,-12.235+1.8064i
-0.9491-29.713i,15.662-22.842i,-9.248+22.327i,1.7369-13.296i,7.3866-8.0776i,-9.6528+21.953i,2.9579-15.448i
-7.8258+22.296i,11.772-20.928i,-11.598+0.85551i,6.8066+7.5692i,4.3036-8.9671i,-11.419+2.0404i,7.9332+6.7805i
3.4431-2.2678i,10.275-23.612i,6.7481+11.258i,-12.703-0.58564i,6.8657-10.631i,5.3459+11.978i,-12.595-2.2057i
-13.092-17.698i,11.675-20.97i,-12.41+19.597i,5.283-11.366i,6.7481-7.4167i,-12.515+19.314i,6.6632-13.281i
7.3856+25.739i,8.0644-18.607i,-8.0405-0.79192i,3.436+9.2808i,4.3583-9.1539i,-8.1066+0.52899i,4.3292+8.587i
-8.3372-18.442i,8.5157-19.962i,5.5416+14.366i,-11.873-4.2633i,7.1821-9.7974i,4.1763+14.763i,-11.658-6.0231i
-8.8292+2.2232i,10.502-16.255i,-14.632+16.144i,7.9552-8.5461i,6.1068-6.9854i,-14.5+16.032i,9.4317-10.195i
13.747+12.033i,8.3059-14.846i,-4.4162-1.2221i,-0.15894+9.7799i,4.5865-9.2586i,-4.7562+0.14205i,0.5105+9.1063i
-22.583-16.678i,10.744-16.265i,3.3544+16.863i,-9.9647-7.4113i,7.3244-8.9211i,2.1155+16.972i,-9.5915-9.2666i
7.9129+11.645i,12.827-13.289i,-15.764+12.302i,9.5558-5.171i,5.5236-6.761i,-15.475+12.416i,11.06-6.5451i
3.1767-2.8055i,11.33-13.957i,-1.0849-0.5131i,-3.5934+9.1016i,4.9357-9.2407i,-1.696+0.80118i,-3.1182+8.3821i
-23.188-3.5279i,14.2-16.022i,0.45421+18.502i,-7.2279-9.7427i,7.2916-8.0617i,-0.58616+18.382i,-6.6634-11.637i
20.468+5.2081i,14.901-14.176i,-15.766+8.4273i,10.003-1.6072i,5.0471-6.705i,-15.411+8.7926i,11.469-2.7177i
-14.593-4.5232i,12.909-16.329i,1.6426+1.1568i,-6.5233+7.3929i,5.3482-9.0794i,0.79193+2.3371i,-6.1969+6.5748i
-8.7565+4.6526i,14.885-18.034i,-2.8382+19.134i,-3.9779-11.068i,7.1011-7.2726i,-3.6321+18.862i,-3.2088-12.941i
17.283-5.9688i,13.656-16.288i,-14.708+4.8589i,9.3298+1.7819i,4.7099-6.7686i,-14.377+5.4716i,10.697+0.90488i
-23.402+5.6495i,11.226-18.358i,3.5306+3.5306i,-8.6757+4.8922i,5.7668-8.7733i,2.4957+4.5097i,-8.4414+3.9404i
7.4548-0.87656i,12.531-18.428i,-6.1823+18.714i,-0.56264-11.308i,6.7853-6.5962i,-6.7088+18.377i,0.40427-13.097i
2.7763-7.4497i,10.403-15.994i,-12.756+1.8922i,7.6783+4.6712i,4.5275-6.8981i,-12.53+2.7211i,8.9005+3.982i
-17.133+14.152i,8.7958-17.236i,4.4369+6.3i,-9.8705+1.9015i,6.1408-8.3377i,3.2897+7.0336i,-9.6662+0.80009i
11.99-13.368i,10.498-15.708i,-9.2505+17.307i,2.6727-10.494i,6.3863-6.0605i,-9.5166+16.989i,3.8122-12.146i
-8.6645+3.589i,8.8007-13.185i,-10.152-0.24923i,5.2762+6.8025i,4.4982-7.0407i,-10.097+0.74269i,6.322+6.2448i
-4.5392+10.12i,8.8959-14.261i,4.3215+9.137i,-10.032-1.2461i,6.4296-7.8016i,3.1419+9.6067i,-9.7967-2.4935i
4.2773-18.962i,11.272-12.367i,-11.758+15.067i,5.4189-8.7611i,5.951-5.6779i,-11.796+14.846i,6.6905-10.232i
-7.8289+16.56i,10.169-11.018i,-7.1909-1.4304i,2.413+8.0061i,4.605-7.1494i,-7.348-0.34442i,3.2695+7.5185i
1.0608-3.8192i,11.437-12.797i,3.2449+11.726i,-9.1926-4.2201i,6.6063-7.2031i,2.1129+11.939i,-8.8706-5.5917i
-4.3775-11.314i,13.514-11.465i,-13.489+12.225i,7.4305-6.3269i,5.5258-5.4453i,-13.352+12.162i,8.7832-7.5885i
0.91488+19.224i,12.135-11.682i,-4.1844-1.6141i,-0.59218+8.2125i,4.819-7.1869i,-4.5721-0.51068i,0.080724+7.7341i
-4.5139-15.235i,13.37-13.932i,1.3583+13.791i,-7.4808-6.7243i,6.6586-6.5845i,0.34512+13.781i,-7.0284-8.1835i
-3.4453+2.6348i,14.098-12.842i,-14.311+9.0624i,8.5469-3.4684i,5.1518-5.3455i,-14.068+9.1969i,9.9241-4.5104i
5.5714+10.005i,11.926-13.767i,-1.4352-0.86023i,-3.4226+7.4542i,5.1031-7.1281i,-2.0461+0.18465i,-2.9103+6.9303i
-13.121-15.008i,12.681-15.356i,-1.1155+15.122i,-5.1071-8.5238i,6.5885-5.9878i,-1.9535+14.941i,-4.495-10.023i
6.2449+10.629i,12.147-13.648i,-14.188+5.877i,8.7034-0.49128i,4.8614-5.3505i,-13.913+6.2252i,10.049-1.3207i
-0.50092-1.406i,9.832-14.297i,0.79332+0.68432i,-5.7945+5.858i,5.4164-6.9621i,-0.0099809+1.6029i,-5.4057+5.2443i
-13.764-5.9493i,10.747-14.532i,-3.906+15.594i,-2.3378-9.4653i,6.4114-5.45i,-4.5329+15.306i,-1.5537-10.953i
14.324+7.6007i,9.9435-12.118i,-13.177+2.9591i,7.9336+2.3011i,4.6754-5.425i,-12.944+3.5127i,9.1961+1.6606i
-12.179-4.6775i,8.5687-12.513i,2.3005+2.8032i,-7.4834+3.6278i,5.7191-6.691i,1.3545+3.5426i,-7.1707+2.8946i
-4.1018+1.2105i,10.306-11.872i,-6.7235+15.168i,0.53276-9.4881i,6.1525-4.9999i,-7.1261+14.846i,1.4842-10.91i
12.164-0.1311i,9.857-9.67i,-11.419+0.561i,6.3614+4.6371i,4.6022-5.5304i,-11.293+1.2895i,7.5003+4.1485i
-18.56+0.90116i,9.6957-10.583i,2.9651+5.2342i,-8.3433+1.0218i,5.9761-6.3292i,1.9391+5.7609i,-8.0541+0.15551i
7.699-0.6581i,11.927-9.9966i,-9.2875+13.9i,3.213-8.6262i,5.8442-4.6555i,-9.476+13.615i,4.3108-9.9353i
1.5068-2.4171i,11.435-8.8717i,-9.1227-1.1252i,4.1852+6.3027i,4.6376-5.6292i,-9.1551-0.27021i,5.1735+5.9187i
-14.292+6.7341i,11.761-10.642i,2.7538+7.6962i,-8.3178-1.6756i,6.1601-5.9005i,1.7164+7.999i,-7.9994-2.6716i
11.814-8.2358i,13.478-10.327i,-11.354+11.925i,5.4424-7.0005i,5.5215-4.4232i,-11.36+11.741i,6.652-8.1587i
-7.9692+4.0035i,12.222-10.152i,-6.5404-1.984i,1.6552+7.1595i,4.7666-5.6884i,-6.7634-1.0634i,2.4814+6.8281i
-4.4752+4.5796i,12.323-12.123i,1.7209+9.9176i,-7.4418-4.1828i,6.2541-5.435i,0.7395+10.007i,-7.0466-5.2893i
6.5849-12.043i,12.988-11.446i,-12.737+9.4462i,7.0156-4.8041i,5.2184-4.2979i,-12.608+9.4099i,8.2929-5.7863i
-8.8384+12.642i,10.998-11.416i,-3.944-1.9852i,-0.95307+7.1556i,4.9654-5.6831i,-4.3681-1.0653i,-0.28429+6.8247i
1.2817-4.9173i,11.04-12.661i,1.8405e-13+11.661i,-5.8343-6.2485i,6.2524-4.9652i,-0.86606+11.569i,-5.3243-7.4333i
-0.61255-6.6598i,11.094-11.103i,-13.325+6.7071i,7.8013-2.2797i,4.9645-4.2641i,-13.122+6.8493i,9.0972-3.076i
-3.0265+14.52i,9.2184-10.825i,-1.5959-1.1836i,-3.3675+6.3277i,5.2046-5.5975i,-2.2101-0.32909i,-2.8362+5.9502i
-1.1826-13.336i,9.9073-11.173i,-2.212+12.748i,-3.6838-7.6756i,6.1598-4.5224i,-2.9173+12.522i,-3.0334-8.8969i
-1.6161+3.8893i,10.069-9.1086i,-13.089+3.9706i,7.7519+0.30601i,4.7821-4.2986i,-12.877+4.3006i,9.0172-0.31015i
1.0603+7.479i,9.0148-9.0438i,0.27568+0.28956i,-5.3457+4.7937i,5.453-5.4267i,-0.49808+1.0219i,-4.9192+4.3316i
-6.9227-13.413i,10.572-9.1191i,-4.6764+13.07i,-1.2266-8.3386i,5.9909-4.1337i,-5.1936+12.768i,-0.42521-9.5497i
4.1525+10.666i,10.883-7.4355i,-12.084+1.4905i,6.9055+2.6898i,4.6842-4.3731i,-11.925+1.9966i,8.0956+2.2334i
-2.2734-2.0203i,10.484-8.2062i,1.4976+2.2414i,-6.6982+2.7384i,5.6805-5.176i,0.61066+2.8085i,-6.3349+2.1663i
-7.7454-6.2202i,12.275-8.5121i,-7.1377+12.6i,1.2784-8.1937i,5.7677-3.819i,-7.4594+12.286i,2.2261-9.3477i
9.6609+9.0106i,12.104-7.6136i,-10.439-0.51282i,5.3789+4.638i,4.6743-4.4576i,-10.388+0.13892i,6.4582+4.3087i
-10.253-5.8912i,11.704-9.117i,1.9675+4.4387i,-7.3057+0.39268i,5.8616-4.8595i,1.0241+4.815i,-6.959-0.30053i
-0.97536+0.5233i,12.947-9.3763i,-9.3488+11.392i,3.5759-7.2803i,5.5167-3.5896i,-9.4879+11.127i,4.6511-8.3348i
